LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants
San Marino,SMR,,29.51,
Sao Tome and Principe,STP,6.4,14.94,10.0
Saudi Arabia,SAU,8.4,12.81,11.1
Senegal,SEN,2.1,3.37,17.2
Serbia,SRB,12.2,13.69,4.6
Seychelles,SYC,10.9,10.18,6.2
Sierra Leone,SLE,5.4,5.2,25.2
Singapore,SGP,3.8,18.12,2.8
Slovakia,SVK,,14.56,
Slovenia,SVN,,14.95,
Solomon Islands,SLB,6.2,9.72,29.8
Somalia,SOM,2.5,2.5,23.9
South Africa,ZAF,12.8,16.89,24.4
South Sudan,SSD,4.3,2.11,30.0
Spain,ESP,,15.22,
Sri Lanka,LKA,0.9,9.49,10.1
Sudan,SDN,2.6,6.72,35.4
Suriname,SUR,3.7,13.12,8.0
Sweden,SWE,,19.01,
Switzerland,CHE,,12.41,
Syrian Arab Republic,SYR,11.0,7.78,23.5
Tajikistan,TJK,4.6,6.39,13.1
Thailand,THA,9.9,16.1,12.3
Timor-Leste,TLS,1.2,8.93,45.4
Togo,TGO,3.6,2.56,23.0
Tonga,TON,9.5,8.65,1.6
Trinidad and Tobago,TTO,15.0,10.92,7.8
Tunisia,TUN,17.5,11.21,8.9
Türkiye,TUR,7.7,10.05,5.5
Turkmenistan,TKM,4.8,8.46,6.5
Tuvalu,TUV,4.1,11.21,5.3
Uganda,UGA,4.2,4.86,23.5
Ukraine,UKR,16.0,,11.7
United Arab Emirates,ARE,,12.07,
United Kingdom,GBR,7.8,20.67,3.5
United Republic of Tanzania,TZA,4.7,5.14,29.9
United States of America,USA,9.7,24.74,4.2
Uruguay,URY,13.5,20.94,6.5
Uzbekistan,UZB,5.5,7.13,6.7
Vanuatu,VUT,5.5,3.89,31.0
Venezuela,VEN,7.3,6.01,11.7
Viet Nam,VNM,10.5,10.7,19.2
Yemen,YEM,1.7,2.51,47.4
Zambia,ZMB,6.3,8.89,32.3
Zimbabwe,ZWE,4.0,5.21,23.7
