LOCATION,Pays_code_iso3,NUTOVERWEIGHTPREV,GHED_GGHE_DGGE_SHA2011,NUTRITION_ANAEMIA_REPRODUCTIVEAGE_PREV,SDGPM25,SDGODAWS,WSH_WATER_SAFELY_MANAGED,PHE_HHAIR_PROP_POP_CLEAN_FUELS,SDGIPV12M,VIOLENCE_HOMICIDERATE,NUTRITION_WH_2,NUTSTUNTINGPREV,WSH_HYGIENE_BASIC,SDGIPVLT,WSH_DOMESTIC_WASTE_SAFELY_TREATED,WSH_SANITATION_SAFELY_MANAGED
Egypt,EGY,11.2,7.22,32.7,64.10,121.6,,99.9,15,4.2,3.3,12.9,,30,62.6,67
El Salvador,SLV,8.5,21.22,14.4,22.76,5.3,,94.4,6,93.8,2.9,9.4,,21,,
Equatorial Guinea,GNQ,7.5,4.45,41.3,27.06,0.0,,22.1,29,2.6,,17.1,,46,,
Eritrea,ERI,2.8,2.37,35.6,24.04,0.4,,12.0,,10.4,,48.0,,,,
Estonia,EST,5.6,13.2,24.7,6.61,,97,100.0,4,1.8,,1.3,,21,91.7,90
Eswatini,SWZ,10.2,11.35,28.3,15.94,6.2,,50.3,18,18.5,1.8,18.9,,,17.0,
Ethiopia,ETH,3.3,5.68,23.1,22.94,336.5,13,7.1,27,6.7,6.8,35.5,8,37,3.0,7
Fiji,FJI,7.3,10.33,29.9,8.14,3.2,42,54.1,23,2.1,4.6,7.2,87,52,39.9,49
Finland,FIN,4.7,14.82,13.6,6.21,,100,100.0,8,1.1,1.6,1.7,,23,89.5,90
France,FRA,,15.25,13.1,11.34,,100,100.0,5,1.0,,,,22,86.7,90
Gabon,GAB,6.1,9.59,59.9,32.87,0.7,,91.4,22,8.0,3.4,13.7,,41,,
Gambia,GMB,2.7,7.48,46.1,41.40,9.1,48,1.6,10,7.9,5.1,14.0,13,25,10.5,28
Georgia,GEO,4.1,10.54,30.2,20.85,38.7,69,93.2,3,1.9,0.6,4.7,92,10,50.2,24
Germany,DEU,3.3,20.46,14.0,11.15,,100,100.0,5,0.9,0.5,2.2,,21,99.1,97
Ghana,GHA,1.8,7.41,36.0,50.42,87.5,44,32.8,10,5.9,5.8,15.6,42,24,15.5,16
Greece,GRC,13.5,8.65,15.6,15.58,,99,100.0,5,1.1,,2.0,,18,92.1,92
