LOCATION,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
India,1.59,17.2,7.23,11.3,12.6,17.46,6.67,,74.3,0.2,0.1,58.1,58.3,58.0,8.56,24.3,89,91,195,36.4,<0.1,1.52,23.6,4.5,27.7,90,141,17.3,63,88,83,80,14.6,622 238 663,67.3,69.0,65.8,0.19,,,54.9,77.5,,
Indonesia,1.03,32.4,5.24,36.1,1.2,1.97,0.35,0.3,77,1.3,0.2,60.7,61.5,59.9,1.97,38.2,97,83,387,15.8,<0.1,3.88,21.9,0.1,20.6,62,97,10.5,55,80,31,140,11.3,67 464 958,68.3,70.2,66.4,0.72,29,,35.2,69.7,,
Iran (Islamic Republic of),5.26,28.76,18.11,23.4,4.1,15.36,3.66,0.4,,0.1,0.6,64.0,64.0,64.0,3.36,13.3,99,99,11,2.9,<0.1,2.73,13.9,0.1,11.8,99,58,7.4,74,76,,16,20.6,5512,74.7,76.4,73.1,0.02,,,34.7,70.6,,
Iraq,5.02,26.48,10.22,70.0,3.0,19.57,4.18,1.6,53.8,0.3,0.2,61.0,62.0,60.0,6.19,19.2,96,91,21,4.4,No data,0,22.7,0.6,22.6,83,90,12.9,59,59,14,66,21.5,2 170 486,71.5,73.9,68.9,0.21,,,87.8,85.7,,
Ireland,4.75,147.77,38.75,3.3,8.5,,,0.0,,0.0,0.3,70.0,70.2,69.8,11.05,19.3,100,89,4.6,2.7,<0.1,,9.6,10.5,3.8,,13,2.5,≥80 ,77,83,4,2.8,0,81.6,83.4,79.9,,84,,10.5,10.5,,
Israel,8.97,58.99,37.97,6.2,4.4,12.81,2.61,0,,0.1,0.0,70.8,70.1,72.1,8.64,20.4,100,98,2.8,2,<0.1,,7.6,3.1,3.4,92,15,1.7,≥80 ,86,94,2,4.2,0,81.7,82.1,82.4,,60,,,,,
Italy,8.82,67.55,41.91,2.8,7.0,,,0.0,,0.3,0.3,70.6,71.1,70.0,13.42,22.4,99,95,4.4,3,<0.1,,9.1,8.3,2.8,85,15,1.6,≥80 ,69,92,6,5.0,223,82.2,84.3,80.0,,46,,30.6,26.5,26.6,
Jamaica,0.93,16.17,4.6,34.8,1.7,,,0,78.7,0.6,0.1,61.7,63.0,60.5,4.83,9.7,100,98,3.2,2.3,0.42,,20.2,3.9,19.3,89,36,14.5,74,69,,130,17.8,8182,70.1,72.8,67.6,2.3,8,,,,,
Japan,8.16,129.78,26.49,1.7,17.4,11.1,2,,,1.0,0.2,73.4,74.8,71.9,20.26,19.2,100,98,9.3,8.4,No data,,8.0,6.3,2.4,94,12,0.8,≥80 ,99,97,3,2.7,7,84.5,87.2,81.7,,35,,33.9,20.4,,
Jordan,7.94,33.33,28.51,17.0,0.6,6.36,1.25,,54.2,0.6,0.3,65.1,64.5,65.6,20.3,35.6,100,96,3.4,1.9,<0.01,,11.6,0.3,13.2,89,39,7.6,65,73,,31,13.6,89,75.6,77.0,74.6,5.42,,,76.3,57.2,,
Kazakhstan,2.13,64.9,37.54,17.2,14.6,3.72,0.17,0.0,73.1,0.2,1.4,61.6,63.8,59.2,3.21,22.2,100,99,70,3.2,0.12,,21.2,5.4,9.6,99,82,4.3,≥80 ,73,98,10,12.2,0,70.3,73.9,66.4,0.45,,,,,,
Kenya,0.25,22.73,2.89,45.8,4.6,5.19,1.4,0.6,79.3,0.4,1.5,58.2,59.2,57.3,0.21,10.7,89,93,223,29,0.31,59.53,18.0,2.5,39.9,76,133,21.5,53,57,91,379,28.2,9 778 105,66.8,69.2,64.4,3.75,33,,21.4,63.6,,
Kiribati,0.68,36.28,,50.6,17.5,,,1.8,53.1,1.6,1.7,53.6,55.5,51.8,0.25,39.7,92,90,533,37.4,No data,,44.1,1.0,55.1,47,248,22.4,48,42,91,80,6.2,128 779,60.9,64.0,57.8,43.62,54,,,,,
Kuwait,8.1,45.45,22.73,0.4,2.3,,,0,,0.0,0.4,67.8,68.4,67.5,9,19.9,99,99,9.7,0.8,<0.1,,9.3,0.1,8.8,91,45,4.8,78,97,99,8,9.2,17,79.0,81.8,77.3,,,,59.1,45.5,,
Kyrgyzstan,1.56,40.76,15.68,29.0,6.8,4.91,0.83,0.0,64.6,0.2,0.7,63.4,65.5,61.3,0.25,27.3,100,86,112,2.3,0.11,,18.8,3.9,17.0,93,124,10.8,69,49,91,42,13.3,2 169 854,72.2,75.8,68.5,4.23,46,,,,,0
Lao People's Democratic Republic,0.76,10.27,3.31,89.0,4.6,8.4,4.12,,72.3,0.7,0.3,60.4,61.6,59.3,2.27,27.2,80,84,132,20.5,0.18,0.29,26.5,11.2,39.0,68,196,20.0,52,55,81,112,16.4,2 025 831,68.2,70.5,66.1,6.89,44,,55.9,52.6,,
Latvia,7.08,43.74,33.98,8.7,15.2,21.41,5.7,0.0,,0.3,0.8,63.8,66.7,60.8,8.54,33.9,98,98,16,2.6,0.15,,22.7,14.7,3.0,92,40,1.5,75,68,95,19,9.8,7,73.2,77.9,68.5,,71,,3.8,16.2,2.1,
Lebanon,12.5,19.18,26.8,,0.7,,,,,0.1,0.2,63.2,64.4,62.1,16.3,34.3,,55,10,2.4,<0.1,,11.9,1.6,18.3,53,,11.1,73,70,65,15,9.7,134,74.3,77.5,71.2,17.53,,,52.5,37.2,,
Lesotho,0.37,17.56,2.35,53.2,28.7,,,0.9,82.8,1.2,3.5,44.6,46.4,43.1,1.12,24.3,89,87,664,108.1,3,,36.3,3.8,58.9,82,291,28.7,53,42,87,478,21.6,387 421,51.5,54.6,48.7,5.11,64,,,,,
Liberia,0.02,10.07,1.78,130.8,6.0,6.75,1.13,6.1,47.5,4.7,0.8,54.0,53.4,54.5,0.32,8.2,84,82,308,34.6,0.15,186.80,22.0,2.8,72.9,60,155,29.6,45,48,80,628,15.3,3 762 030,63.5,64.3,62.6,10.82,40,,,,,
Libya,5.8,63.77,20.42,,5.0,,,,,0.4,0.9,62.1,62.5,61.7,4.1,,,73,59,2.2,No data,,19.8,0.0,30.8,72,,5.7,62,38,73,59,34.0,451,72.2,74.2,70.2,2.43,54,,,,,
Lithuania,16.84,78.43,61.04,6.0,22.1,,,0,,0.1,1.2,64.2,67.0,61.4,12.39,31.4,100,90,28,2.6,<0.1,,19.8,12.2,3.4,86,39,1.9,75,87,82,8,6.3,89,74.1,78.6,69.6,,43,,9.4,17,,
Luxembourg,9.74,137.21,29.84,2.8,8.2,4.34,0.22,0,,0.1,0.1,71.2,71.7,70.8,6.97,23.0,,99,7.3,1.9,<0.1,,7.8,10.8,2.3,90,13,1.6,≥80 ,67,96,12,3.9,3,82.8,84.8,80.8,,14,,4.7,10.9,,
Madagascar,0.08,2.81,1.72,143.0,6.1,,,7.1,64.7,2.1,1.4,55.1,55.2,55.1,0.01,26.8,46,65,233,40.1,No data,200.02,25.9,0.9,64.8,47,209,23.8,35,59,73,445,22.5,21 278 009,62.9,64.0,61.9,5.49,,,,,,
Malawi,0.05,5.07,0.54,135.6,7.6,2.91,0.41,2.0,77.3,1.4,1.1,54.7,55.9,53.5,0.06,9.7,96,91,119,30.8,0.61,227.92,24.9,1.7,38.3,65,150,18.8,48,58,91,225,20.2,10 944 581,62.5,65.3,59.7,9.11,27,,,,,
Malaysia,4.06,40.54,23.41,6.0,5.7,1.52,0.13,0,49.6,0.1,0.7,63.9,65.1,63.0,6.26,22.0,100,97,122,14.4,<0.1,0,19.9,0.8,8.1,96,80,4.1,76,87,95,26,13.9,111 680,72.8,75.3,70.6,0.05,0,,,,,
Maldives,1.02,50.17,22.35,8.3,1.5,10.27,4.07,0.1,29.2,0.2,0.1,66.7,66.4,66.8,7.01,26.3,100,99,40,2.3,No data,,9.0,1.6,5.7,99,32,3.9,61,58,,32,1.3,3417,75.4,76.6,74.5,0.99,61,,,,,
Mali,0.01,2.68,1.88,144.8,4.2,1.7,0.12,5.0,41.2,4.6,1.2,53.6,53.1,54.0,0.75,8.0,66,77,48,66.1,0.24,346.22,23.0,3.6,91.3,59,174,32.4,41,46,77,367,20.2,11 060 297,61.7,62.3,61.1,7.24,,,13.6,60.9,,0
Malta,5.11,82.44,45.13,10.1,6.5,15.94,2.75,0,,0.2,0.1,70.7,71.0,70.4,15.26,24.7,100,98,15,4.6,<0.1,,9.8,6.2,5.5,95,21,3.7,≥80 ,69,97,8,1.9,0,81.8,83.7,80.0,,73,,19.9,13.4,,
Marshall Islands,1.59,43.05,,,,,,,,0.4,,,,,,29.8,92,85,692,,No data,,,,28.2,61,,13.0,59,55,62,155,11.9,19 594,,,,29.7,27,,,,,
Mauritania,0.31,16.09,2.61,89.6,2.7,,,6.3,26.9,3.4,0.5,60.4,59.8,61.1,0.2,9.5,70,90,74,37.8,<0.1,38.34,18.7,0.0,37.8,24,130,21.5,40,29,90,381,9.5,946 623,68.9,69.4,68.4,4.84,14,,,,,
Mauritius,3.24,40.48,14.36,20.8,10.5,8.2,1.9,0.4,,0.4,0.8,63.6,65.6,61.8,0.32,20.9,100,96,12,5.5,0.86,,21.7,7.7,15.2,94,31,9.0,66,46,91,66,9.7,6299,73.4,76.9,70.1,9.12,26,,39.4,60.4,,
Mexico,1.18,30.28,25.88,39.9,7.0,4.44,1.22,0.8,83.2,0.0,0.4,61.4,63.5,59.5,,14.9,88,85,29,3.5,0.15,0.02,16.3,6.0,12.5,74,45,7.6,75,79,78,42,12.0,279 519,70.8,74.7,67.2,0.06,62,,,,,
Micronesia (Federated States of),,22.21,9.74,,19.8,,,,,0.4,0.5,57.9,59.6,56.4,,,,79,234,14,No data,,40.5,2.0,23.1,59,255,12.1,48,42,73,129,14.1,36 871,65.7,68.7,63.0,21.35,48,,,,,
Monaco,9.19,,86.09,,,,,,,0.2,,,,,23.36,,,99,0.99,,No data,,,,2.7,80,,1.5,≥80 ,79,,5,0.0,0,,,,,,,,,,
Mongolia,5.41,42.17,41.3,17.0,18.5,14.03,3.46,0.1,63.6,0.5,3.0,61.3,63.9,58.8,11.11,29.5,100,96,491,3.2,<0.1,,26.3,7.7,13.6,96,215,7.4,65,60,96,41,12.4,0,70.1,73.9,66.4,2.79,,,,,0.3,
Montenegro,0.58,60.8,27.83,8.7,11.3,10.27,0.78,0,32.9,0.7,0.3,65.1,66.8,63.5,2.75,32.0,99,81,14,1.8,<0.1,,18.0,8.0,2.6,69,115,1.0,72,55,,6,9.1,0,74.7,77.9,71.6,14.27,19,,,,,
Morocco,1.4,8.69,7.4,21.8,2.9,8.2,0.9,0.0,72,0.2,0.7,62.3,61.8,62.8,2.7,13.0,87,99,92,4.6,<0.1,0,22.0,0.6,16.6,99,66,10.2,69,75,98,70,18.6,2405,72.6,73.7,71.5,1.14,,7.1,23.6,46.1,,
Mozambique,0.11,9.34,1.75,158.0,10.6,3.58,0.97,7.0,52.1,0.6,1.5,49.7,50.8,48.7,0.15,,68,70,361,45.6,2.6,275.20,26.6,1.9,61.7,44,230,25.4,44,53,55,82,20.1,23 744 174,57.7,60.5,54.8,7.83,57,,6.7,64.3,,
Myanmar,0.72,2.05,7.57,,2.9,12.71,3.47,,74.9,1.1,0.9,59.8,61.7,57.9,0.8,44.4,60,76,558,12.9,0.19,17.96,24.0,1.9,38.7,65,178,20.6,52,64,78,185,19.3,19 836 694,67.8,71.1,64.7,2.41,77,,66.7,90.9,,
Namibia,0.78,53.86,5.53,22.4,8.6,1.52,0.32,0.3,,0.4,1.4,52.8,54.6,51.0,2.27,14.1,,83,468,28.8,2.2,8.24,23.1,12.0,40.7,62,143,24.1,63,64,83,139,22.0,387 962,60.4,63.4,57.3,2.52,,,0,18.2,,
Nauru,3.45,73.04,12.73,56.1,,,,,,0.5,,,,,1.82,48.3,98,99,174,,No data,,,3.0,8.9,99,,4.8,60,47,97,273,8.0,12 797,,,,222.11,,,,,,
Nepal,1.64,40.92,10.11,71.2,10.1,10.66,2.1,0.0,55.1,0.2,2.9,60.2,60.7,59.8,2.25,28.3,80,94,229,17.8,<0.1,0,19.4,3.7,26.5,89,180,16.6,54,49,88,142,28.2,14 786 109,70.0,71.8,68.3,3.65,,,83.3,77.1,,
Netherlands (Kingdom of the),5.67,116.65,38.76,2.2,11.5,,,0,,0.1,0.1,70.0,69.9,70.0,2.17,21.3,,92,4.5,3.4,No data,,9.9,8.7,4.0,81,13,2.6,≥80 ,85,88,4,3.4,60,81.1,82.6,79.6,,60,13.8,2.3,7.6,,
New Zealand,5.09,123.04,36.11,11.0,11.9,,,0.1,,0.8,0.2,70.0,70.3,69.6,7.09,12.2,96,88,6.6,2.1,<0.01,,10.3,9.2,4.7,84,12,2.7,≥80 ,85,86,7,6.6,0,82.2,84.0,80.4,,66,,,,,
Nicaragua,0.41,15.69,6.82,71.3,4.2,,,4.7,,0.1,0.1,64.6,66.1,63.1,,,94,89,43,3.5,<0.1,1.42,12.6,3.9,13.4,95,85,8.4,70,62,90,60,13.6,1 892 977,75.0,77.7,72.3,10.98,,,,,7.4,
Niger,0.01,4.21,0.38,150.3,4.5,6.52,0.91,3.0,38.2,3.4,1.6,52.6,52.4,52.8,0.02,7.7,44,85,74,70.3,<0.1,305.14,20.2,0.2,114.8,68,220,33.8,35,55,85,350,24.9,6 194 250,60.0,60.9,59.0,4.95,,,,,,
Nigeria,0.23,16.47,3.8,74.6,5.0,15.79,4.09,1.9,41.9,2.9,1.1,54.9,55.0,54.9,0.82,3.3,51,62,219,71.7,0.34,299.00,17.7,2.3,104.9,38,175,33.7,38,57,60,993,17.2,92 474 258,63.4,64.8,62.1,2.59,27,,65.1,,,
Niue,,111.11,,0,,,,0,,0.4,,,,,,,,99,48,,No data,,,3.3,24.3,99,,12.6,44,71,99,,0.0,0,,,,7.18,100,,,,,
North Macedonia,9.24,55.15,29.44,14.0,5.8,9.73,1.5,0.3,29.6,0.1,1.1,63.7,64.6,62.9,5.95,,100,86,10,1,<0.1,,19.6,5.8,3.3,88,96,1.4,74,62,56,3,5.7,0,73.0,75.2,70.9,1.73,40,,53.8,60,,
Norway,8.79,165.09,49.75,1.4,13.2,,,0,,0.0,0.3,71.2,71.1,71.2,2.81,14.2,99,96,2.9,3.6,No data,,7.8,7.5,2.4,94,8,1.3,≥80 ,95,95,1,1.5,12,82.9,84.3,81.5,,94,,,,,
"occupied Palestinian territory, including east Jerusalem",,,,42.8,0.7,9,1.5,0.0,61,0.1,0.1,62.9,63.8,62.1,,,100,88,0.35,,,,18.3,,26.3,89,,8.7,,,87,16,4.7,,73.5,75.9,71.1,,,,,,,
Oman,3.59,46.61,19.92,5.1,0.9,,,0.0,,0.1,0.0,63.2,63.6,62.7,7.01,8.4,100,99,11,1.6,<0.1,0,14.6,0.7,10.4,99,104,4.7,70,76,99,13,11.0,2246,72.5,74.9,70.9,,,,28.6,78.2,,
Pakistan,1.16,5.2,11.6,41.0,5.6,5.39,1.02,,48.5,0.9,0.1,56.9,56.7,57.1,2,18.9,68,86,277,38.8,No data,17.61,25.5,0.1,58.5,80,195,37.6,45,52,86,155,11.9,27 745 571,66.0,66.9,65.1,1.38,,,67.1,83.5,,
Palau,3.96,66.1,18.08,36.5,,,,,,0.0,,,,,2.81,17.3,99,97,97,,No data,,,,22.3,89,,11.7,65,57,93,89,22.2,4,,,,97.85,25,,,,,
Panama,2.8,33.45,16.25,51.9,3.3,6.2,0.65,2.0,,0.1,0.2,66.7,68.3,65.3,2.18,5.2,93,66,58,4.2,0.35,3.18,10.9,6.3,13.3,73,17,6.6,78,68,69,37,7.3,58 388,77.2,80.3,74.4,0.67,66,,,,,
Papua New Guinea,0.05,5.08,0.61,67.7,1.8,,,1.1,49.2,1.4,0.4,57.5,58.1,57.0,0.08,39.6,56,35,432,24.9,0.65,147.20,28.5,1.3,40.3,41,191,20.5,30,45,29,189,14.9,7 465 549,65.5,66.9,64.2,6.19,,,65.5,,,
Paraguay,13.41,94.09,38.93,72.0,6.4,,,3.2,78.9,0.4,0.2,60.9,62.2,59.7,6.73,10.7,91,71,62,4.6,0.2,,16.1,6.7,17.0,57,56,9.1,72,63,77,58,21.0,2 087 033,70.3,73.2,67.6,0.9,22,,,,,
Peru,2.15,27.38,16.88,29.3,1.5,12.59,2,1.0,67.2,0.1,0.8,63.0,64.5,61.6,1.65,7.1,95,84,173,7.6,0.19,2.19,12.3,6.8,15.8,66,39,7.8,71,40,80,51,12.7,420 150,71.7,74.8,68.8,0.66,74,,49.2,76.7,,69.2
Philippines,2.51,47.88,7.92,27.0,3.5,6.31,1.41,0.5,58.2,0.4,0.2,58.8,60.8,57.1,4.73,20.4,90,89,643,16.9,0.24,0.23,31.9,5.7,26.9,69,205,14.0,58,62,85,84,9.7,49 499 441,66.4,69.9,63.4,1.02,10,,44.4,43.9,,
Poland,10.73,63.25,40.31,6.1,13.7,16.09,1.96,0.0,,0.0,1.2,65.5,68.1,63.1,9.99,23.6,100,94,10,5.4,No data,,17.0,11.9,4.4,86,41,2.4,≥80 ,74,88,2,6.5,66,75.4,79.4,71.6,,,,13.7,18.8,,
Portugal,12.05,80.09,58.51,6.1,11.5,,,0.1,,0.0,0.3,69.5,70.5,68.5,10.17,25.6,97,99,16,6.8,<0.1,,10.5,11.2,3.2,95,10,1.6,≥80 ,85,98,15,7.2,8,81.2,83.9,78.3,,90,,,,,
Puerto Rico,,,,12.3,5.4,,,0.1,,,0.3,68.8,71.0,66.6,,,,,0.71,,,,10.1,,,,,,,,,11,12.5,,79.9,83.5,76.2,,,,,,,
Qatar,7.39,84.89,30.22,4.0,4.7,1.3,0.1,0,,0.1,0.4,66.2,65.0,66.5,12.44,12.5,100,95,35,0.4,<0.1,,12.1,1.3,6.0,99,91,3.7,76,89,97,4,7.3,205,76.7,78.0,76.0,,,,30.1,43.3,,
Republic of Korea,5.41,90.86,26.1,0.4,27.5,11.96,2.87,0.0,74.1,0.1,0.2,72.5,74.1,70.7,8.04,20.0,100,98,38,5.2,No data,0.18,6.9,8.4,2.8,96,19,1.2,≥80 ,99,97,4,6.9,3,83.8,86.7,80.7,,65,,45.7,38.8,,
Republic of Moldova,4.98,63.17,40.16,22.9,14.1,14.15,2.48,0.1,59.5,0.2,4.1,61.2,63.6,58.8,1.06,29.7,100,87,76,3.6,0.3,,24.7,14.1,14.7,93,67,10.8,71,62,85,19,9.1,0,69.6,73.6,65.5,2.43,44,,23.8,71.9,2.2,21.7
Romania,11.4,82.53,36.25,30.8,9.6,13.42,2.19,1.4,,0.3,1.9,63.8,66.2,61.6,11.79,30.0,98,78,55,7.2,<0.1,,21.5,17.1,6.6,62,46,3.3,78,62,78,12,9.6,38,72.8,76.5,69.2,,6,,,,,
Russian Federation,2.79,70.39,51.11,13.4,21.4,7.7,0.9,0.1,,0.6,2.8,60.9,63.6,58.2,0.39,29.2,100,97,38,3.2,No data,,22.4,10.5,4.5,97,80,1.7,79,100,93,9,10.6,1,70.0,74.3,65.6,,,,7.3,64.6,,
Rwanda,0.2,11.06,0.9,24.3,8.7,1.15,0.13,0.1,72.1,0.5,1.3,58.7,59.4,57.9,0.06,14.3,94,94,55,25,0.24,53.64,20.0,6.5,40.0,88,167,18.1,49,55,94,229,11.6,7 905 114,67.5,69.4,65.4,7.1,0,,,48,,
Saint Kitts and Nevis,2.55,65.81,30.85,,,,,,,0.1,,,,,,,100,96,2.5,,No data,,,7.0,16.3,94,,10.3,79,68,,74,23.1,286,,,,,64,,,,,
Saint Lucia,1.76,53.43,42.34,23.9,5.3,6.17,1.77,0.8,,0.2,0.1,61.8,63.6,60.1,4.48,13.8,100,74,1.3,5.8,No data,,15.5,11.4,15.5,83,28,10.0,77,61,,44,8.9,75,71.1,74.5,68.0,16.48,81,,,,,
Saint Vincent and the Grenadines,,47.38,,37.9,0.4,,,1.8,,0.2,0.0,62.9,64.5,61.5,,,99,94,14,5.3,No data,,23.6,6.8,10.6,92,36,5.8,69,56,,56,4.8,759,72.6,75.5,70.0,2.88,,,,,,
Samoa,0.9,30.58,5.61,54.9,12.0,,,0.4,27,0.3,0.3,61.6,61.9,61.3,0.24,22.5,89,83,5.2,8.2,No data,,32.3,2.9,15.7,75,146,6.2,55,47,93,101,9.6,191 219,70.3,71.6,69.1,12.43,87,,,,,
San Marino,7.42,94.36,46.29,1.2,,,,,,0.1,,,,,10.98,,,91,0,,No data,,,,1.4,79,,0.6,77,29,83,8,5.9,0,,,,,52,,,,,
Sao Tome and Principe,0.27,21.65,4.64,86.1,0.9,4.83,1.15,0.4,57.7,1.3,0.3,62.4,62.6,62.3,1.64,7.8,97,86,111,16.7,No data,10.17,19.5,5.7,13.9,90,226,6.8,59,47,86,75,11.7,101 989,71.2,72.8,69.6,16.71,80,,,,,
Saudi Arabia,7.81,65.57,34.06,8.3,0.9,1.31,0.58,,53.6,0.0,0.3,65.6,65.1,65.8,11.07,14.9,100,97,8.4,1.9,<0.1,0,13.6,,6.2,96,91,3.0,74,95,97,7,18.5,15 056,76.4,77.4,75.7,,39,,52,52.8,19.8,
Senegal,0.11,4.24,1.09,67.4,6.8,6.86,1.3,4.3,55.7,0.9,0.8,58.9,59.2,58.6,0.2,6.5,94,83,110,31.7,0.16,66.35,21.4,0.4,38.5,64,146,22.3,50,53,80,237,20.8,4 101 016,67.8,69.5,65.9,4.8,25,,,,,7.7
Serbia,2.47,66.89,30.99,13.9,15.1,8.53,0.58,0.2,38.4,0.0,0.3,63.9,65.4,62.4,1.55,39.5,100,93,14,3.9,<0.1,,20.7,9.0,5.2,91,72,3.2,72,73,82,11,7.4,0,72.8,75.6,70.0,4.45,2,,,,,
Seychelles,3.51,73.2,65.98,49.0,4.3,,,0.7,,0.1,0.3,64.7,65.2,64.3,4.22,20.2,100,97,21,8.4,No data,,15.6,11.4,14.3,89,43,8.5,75,68,97,42,6.6,0,74.0,75.6,72.6,,54,,,,,
Sierra Leone,0.02,11.63,1.34,101.9,6.1,16.4,3.04,3.9,53,2.0,1.2,53.1,53.0,53.2,0.11,12.9,87,91,283,69.5,0.39,293.11,23.9,0.3,94.3,73,242,29.3,41,55,93,354,13.8,7 398 716,61.0,61.9,60.2,7.14,39,,,,,
Singapore,4.61,65.59,28.34,1.9,8.1,,,0.0,,0.1,0.0,73.6,75.0,72.4,6.65,16.4,100,98,42,8.5,<0.1,,10.3,2.0,2.1,92,23,0.9,≥80 ,96,93,6,1.9,9939,83.9,86.3,81.6,,69,,31.2,25.5,,
Slovakia,5.43,60.14,36.97,24.8,9.9,2.65,0.04,0.3,,0.3,0.6,64.9,66.9,63.0,8.47,32.4,97,96,4.3,3.6,<0.1,,16.6,11.0,6.1,95,30,3.0,≥80 ,50,96,4,6.4,10,74.5,78.0,71.1,,10,,,,8.4,
Slovenia,7.43,105.63,33.67,3.3,18.9,3.69,0.31,0,,1.1,0.2,69.4,70.9,67.9,7.34,20.1,,89,4.6,1.9,No data,,11.6,10.9,2.2,89,19,1.3,≥80 ,81,58,3,5.8,16,80.4,83.4,77.5,,45,,,,,
Solomon Islands,0.51,20.01,2.38,49.1,19.6,,,,38,0.9,0.6,57.4,58.5,56.3,0.78,36.9,86,84,55,32.7,No data,237.04,40.6,0.8,20.6,48,282,8.3,47,50,81,123,11.2,722 398,64.8,67.3,62.6,12.33,69,,,,,
Somalia,,,,115.6,8.0,0.13,0,1.2,2.1,6.3,3.2,47.4,48.7,46.2,,,32,42,243,99.2,No data,58.89,27.6,0.0,104.0,13,248,34.9,27,33,,563,20.2,3 780 177,54.0,56.3,51.7,5.68,,,,,,
South Africa,0.19,63.93,7.94,40.1,22.3,,,1.3,79.7,3.1,1.7,52.8,53.8,51.7,2.7,20.7,97,79,427,27.6,2.7,0.84,22.7,7.8,34.7,84,74,11.7,71,63,84,118,24.5,14 069 347,61.5,64.0,58.9,1.22,72,,16.5,30,,
South Sudan,0.03,6.91,0.41,,7.9,11.71,2.71,,,13.0,1.6,50.5,51.4,49.6,0.15,,40,73,227,68.1,0.56,253.16,22.4,0.8,98.7,,144,40.2,34,43,,692,23.3,9 622 332,58.6,60.6,56.5,8.03,,,,,,
Spain,6.03,64.06,42.94,4.6,8.7,7.87,1.12,0.1,,0.1,0.3,71.1,71.8,70.3,12.29,28.4,100,93,5.9,3.2,<0.1,,9.3,11.0,3.1,92,10,1.7,≥80 ,78,92,3,3.5,180,82.7,85.3,80.0,,75,,,,,
Sri Lanka,0.96,22.58,11.36,16.2,14.7,5.44,0.9,0.0,74.3,0.3,0.2,66.7,68.3,65.1,1.09,19.5,100,99,62,4.8,<0.01,0,13.9,2.7,6.1,99,92,4.1,67,66,,18,11.5,94 495,77.2,80.1,74.2,0.96,25,,51.3,58.8,,
Sudan,2.5,10.83,2.5,,3.2,,,,,1.7,1.2,58.5,58.5,58.5,0.24,,,51,50,15.8,0.11,68.07,21.2,0.0,50.1,38,143,24.8,44,55,52,256,19.6,12 159 633,67.6,68.9,66.2,2.26,,,,,,
Suriname,0.7,17.27,13.55,40.4,22.3,4.87,1.35,1.5,57.5,0.1,0.2,60.3,61.7,58.9,0.81,,100,72,29,7.1,0.83,0,18.7,5.9,16.2,52,50,9.9,63,40,,84,16.2,369,69.8,72.7,67.0,12.52,0,,,,,
Sweden,7.74,116.65,44.08,2.0,13.8,,,0.0,86.7,0.1,0.2,71.1,71.2,71.0,7.83,22.7,,94,3.7,3,No data,,7.9,9.6,2.5,92,8,1.4,≥80 ,90,94,4,2.1,48,82.7,84.3,81.0,,88,,1.9,7.3,35.4,
Switzerland,4.06,187.6,44.77,1.4,14.0,7.9,0.32,0,,0.2,0.1,71.1,71.3,70.9,6.61,25.5,,95,5.4,2.5,<0.1,,7.5,9.2,3.9,91,10,2.8,≥80 ,90,89,5,2.4,39,83.3,85.1,81.5,,70,,4.1,9.8,,
Syrian Arab Republic,10.22,17.57,15.21,,0.6,,,,,0.7,0.3,62.3,62.8,61.8,16.31,,,66,17,9.1,<0.01,,21.3,0.1,20.6,64,96,10.0,64,41,,20,29.9,2 971 666,72.4,74.4,70.6,2.74,,,29.4,78.6,,
Tajikistan,1.5,64.53,18.7,39.2,2.4,9.8,1.4,0,52.1,0.2,0.9,63.1,63.6,62.6,2.56,,98,96,79,9,<0.1,0,18.1,0.7,27.3,96,201,12.6,67,60,31,14,13.9,3 375 143,71.8,73.5,70.2,6.17,,,,,3.4,
Thailand,1.13,35.72,5.41,18.0,16.6,2.05,0.33,0.8,87,0.3,0.4,65.8,68.1,63.5,2.24,19.2,100,92,157,11.8,0.13,0.67,14.5,7.6,9.2,87,46,5.2,≥80 ,89,,34,25.4,159 310,75.3,79.0,71.8,0.23,8,,7.5,33.8,,
Timor-Leste,0.02,17.38,7.52,41.9,3.6,,,0,45.9,0.7,0.3,59.5,60.6,58.6,2.08,38.7,69,83,498,20.4,<0.1,0,20.1,0.2,50.0,72,187,22.2,52,51,56,192,12.0,438 316,68.0,69.6,66.5,13.09,,,38.1,50,,
