LOCATION,Pays_code_iso3,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
Barbados,BRB,3.14,36.66,29.58,,3.5,16.37,3.82,,,0.2,0.1,66.7,67.1,66.2,11.41,7.0,98.0,85.0,0.81,7.7,0.14,,14.0,9.5,10.0,76.0,19.0,6.9,77,67,86.0,35.0,10.0,771,76.8,78.4,75.1,0.0,50.0,0.3,,,,
Belarus,BLR,6.09,108.15,47.17,11.6,15.6,16.54,1.16,0.0,66.0,0.3,1.6,63.7,66.8,60.5,4.5,30.1,100.0,98.0,27.0,1.6,<0.1,,23.8,11.4,2.4,95.0,70.0,0.8,79,96,,1.0,7.4,0,73.1,78.1,68.1,0.67,,,,,10.0,
Belgium,BEL,11.92,128.85,65.25,4.3,18.4,,,0.0,,0.1,0.4,69.8,70.3,69.3,21.18,26.7,,98.0,7.5,5.3,No data,,9.2,8.7,3.6,82.0,15.0,2.1,≥80 ,76,94.0,4.0,4.6,61,81.5,83.7,79.3,,72.0,1.2,4.6,8.9,7.8,
Belize,BLZ,1.71,20.6,10.86,52.1,4.2,6.2,3.1,1.4,64.9,0.6,0.2,63.8,64.7,63.0,7.7,8.8,95.0,85.0,27.0,4.3,0.39,0.0,15.4,5.1,12.7,88.0,40.0,9.3,68,55,,67.0,17.5,1689,73.3,75.4,71.4,4.02,41.0,,,,,
Benin,BEN,0.05,6.11,2.16,77.2,7.1,14.29,2.95,0.8,36.8,2.9,1.1,55.7,56.6,54.9,0.31,6.3,81.0,69.0,51.0,60.2,<0.1,363.4,20.8,7.0,77.9,,207.0,28.0,38,42,69.0,518.0,24.8,6 385 123,64.0,66.4,61.7,5.44,,,52.6,73.1,,
Bhutan,BTN,0.97,20.52,5.53,6.1,4.9,3.98,1.77,0.0,,0.1,0.1,64.8,64.6,65.0,0.68,18.7,99.0,99.0,164.0,15.7,<0.1,0.0,15.9,4.4,23.1,97.0,88.0,12.7,60,64,99.0,47.0,12.2,173 578,74.9,75.9,73.9,5.66,87.0,,,,,
Bolivia (Plurinational State of),,2.29,16.24,12.84,71.0,4.2,5.69,1.19,,50.3,0.1,0.4,57.4,58.8,56.3,2.41,12.4,72.0,67.0,105.0,14.3,0.16,2.51,19.9,3.6,23.1,50.0,76.0,12.2,65,46,68.0,146.0,17.6,189 894,65.4,68.4,62.9,1.26,67.0,,,,,23.1
Bosnia and Herzegovina,BIH,2.58,67.27,25.84,8.5,9.0,8.18,1.39,0.1,,0.6,1.9,65.0,66.1,63.9,1.38,36.2,100.0,73.0,24.0,1.9,<0.1,,17.2,6.3,6.0,63.0,115.0,4.5,66,No data,,6.0,13.7,0,74.8,77.2,72.6,7.54,5.0,,26.5,26.8,,
Botswana,BWA,0.36,30.18,3.79,48.1,8.4,4.32,1.01,0.3,,0.2,1.1,53.1,53.9,52.3,0.53,18.7,100.0,95.0,244.0,26.8,1.9,0.47,19.0,6.0,39.6,79.0,140.0,20.9,55,45,81.0,155.0,16.5,685 567,61.2,63.2,59.2,0.85,32.0,,,,,
Brazil,BRA,7.45,55.02,23.57,40.2,7.6,11.81,1.88,2.0,,0.0,0.1,61.8,63.4,60.3,4.14,12.2,98.0,90.0,49.0,6.6,0.24,3.81,14.5,9.4,14.4,64.0,28.0,7.6,≥80 ,65,74.0,67.0,15.7,3 102 066,72.4,75.8,69.0,0.15,73.0,,31.6,36.3,,
