LOCATION,Pays_code_iso3,Médecins pour 10k habitants,Personnel infirmier densité,Personnel de santé total,Grossesse adolescentes 15-19,Taux de suicides,Dépenses santé catastrophiques 10%,Dépenses santé catastrophiques 25%,Grossesse adolescentes 10-14,Couverture planning familial,Prévalence hépatite B,Décès intoxications,Espérance de vie totale,Espérance de vie femmes,Espérance de vie hommes,Pharmaciens pour 10k,Prévalence tabagisme adultes,Accès eau potable,Accès assainissement amélioré,Mortalité maternelle,Décès liés eau/assainissement,Prévalence VIH,Incidence paludisme,Mortalité maladies non transmissibles,Accidents de la route,Mortalité enfants <5 ans,Couverture vaccin rougeole 2,Décès pollution atmosphérique,Taux mortalité brute,Indice couverture santé,Capacité réponse sanitaire,Couverture vaccin pneumocoque,Accès services de santé,Incidence tuberculose,Traitement maladies tropicales,Taux natalité total,Natalité femmes,Natalité hommes,Aide santé internationale,Vaccination HPV filles,Traitement troubles alcool,Infections résistantes MRSA,Infections résistantes E.coli,Traitement dépendances drogues,Accès médicaments essentiels
France,FRA,6.94,94.22,32.81,3.5,16.6,,,,,0.2,0.3,70.1,71.0,69.1,9.34,34.6,98.0,96.0,8.3,3.4,<0.1,,10.2,11.2,4.3,93.0,10.0,2.7,≥80 ,88,96.0,7.0,4.7,145,81.9,84.7,79.1,,45.0,,11.2,9.1,,
Gabon,GAB,0.18,23.7,5.21,100.1,7.3,3.83,0.72,2.8,37.3,2.1,0.6,56.3,57.4,55.3,0.77,,95.0,70.0,505.0,17.5,0.79,229.32,18.1,7.9,33.2,,77.0,16.8,49,49,,233.0,12.5,978 475,65.1,67.9,62.7,6.1,,,,,,
Gambia,GMB,0.03,6.58,0.9,64.8,4.8,0.2,0.03,1.1,41.1,1.6,0.8,55.8,56.1,55.6,0.04,10.5,84.0,84.0,142.0,29.5,0.53,87.51,21.8,0.6,44.1,73.0,224.0,23.7,46,27,80.0,354.0,22.0,490 110,64.2,66.3,62.2,11.09,,,,,,
Georgia,GEO,7.74,59.67,56.42,21.8,5.1,31.41,8.86,0.1,51.3,0.1,1.1,62.5,65.3,59.6,0.92,31.8,100.0,88.0,55.0,3.3,0.14,,22.1,15.5,9.2,86.0,92.0,5.3,68,60,86.0,20.0,12.7,31,71.2,75.6,66.9,1.1,40.0,,28.3,46.5,,
Germany,DEU,8.48,122.49,45.34,5.9,12.9,,,0.1,,0.2,0.4,68.9,69.4,68.4,6.71,21.3,96.0,91.0,4.8,3.2,No data,,11.6,11.2,3.7,93.0,15.0,2.3,≥80 ,85,82.0,4.0,3.3,199,80.5,82.9,78.1,,54.0,,4.4,9.4,,
Ghana,GHA,0.07,41.1,2.66,63.0,5.3,1.33,0.11,2.0,49.0,2.1,0.9,57.9,58.9,56.9,1.73,3.4,88.0,95.0,129.0,25.2,0.56,193.9,22.2,4.4,37.1,78.0,191.0,21.2,48,52,96.0,234.0,25.9,9 918 507,66.1,68.6,63.7,6.11,,,67.9,90.4,,12.5
Greece,GRC,13.35,41.14,65.76,7.4,4.7,16.89,1.62,0.5,,0.1,0.2,68.6,69.3,67.8,10.82,32.8,100.0,99.0,5.2,7.6,<0.1,,12.0,7.0,3.7,83.0,23.0,2.3,77,60,96.0,5.0,7.3,52,79.6,82.0,77.3,,,,41.1,24.0,,
Grenada,GRD,1.9,45.77,13.83,31.4,1.3,,,1.2,,0.1,1.7,63.2,64.3,62.1,6.52,,100.0,86.0,4.9,6.7,No data,,17.1,7.8,18.3,84.0,48.0,12.4,70,54,,48.0,6.4,635,72.8,75.2,70.5,0.29,1.0,,,,19.1,
Guatemala,GTM,2.68,22.73,12.81,57.6,4.9,,,2.0,,0.0,0.8,59.3,61.0,57.6,4.0,11.9,70.0,83.0,33.0,15.3,<0.1,0.22,14.6,1.7,21.4,77.0,93.0,10.0,59,37,87.0,94.0,12.6,729 890,68.7,71.9,65.6,1.49,48.0,,,,,
Guinea,GIN,0.03,4.21,2.1,127.6,4.8,1.5,0.03,3.3,37.7,6.1,1.0,53.4,53.5,53.3,0.18,,55.0,47.0,175.0,57.8,0.33,307.78,23.6,0.5,95.0,26.0,244.0,30.3,40,55,,494.0,37.4,8 401 212,61.3,62.5,59.9,5.65,,,,,,12.5
Guinea-Bissau,GNB,0.1,9.9,2.52,84.5,7.7,5.05,0.37,1.6,60.0,2.1,1.0,51.5,52.6,50.3,0.01,8.2,54.0,74.0,361.0,49.4,0.53,104.0,25.3,3.2,69.3,36.0,234.0,32.7,37,50,74.0,505.0,30.5,919 108,58.6,61.1,56.1,14.85,,,,,,
Guyana,GUY,0.68,39.27,13.87,64.9,24.8,,,1.3,46.6,0.4,0.1,56.8,58.7,55.1,0.58,11.1,98.0,98.0,64.0,8.6,0.73,42.66,25.4,5.3,25.7,99.0,96.0,15.6,76,37,95.0,75.0,15.2,206 893,66.1,69.3,63.0,2.91,40.0,,,,,
Haiti,HTI,0.22,7.32,2.92,54.8,7.8,,,1.3,45.4,1.0,0.5,53.9,53.6,54.3,0.31,8.1,42.0,51.0,149.0,25.9,0.48,2.29,31.6,3.3,55.1,41.0,210.0,23.3,54,54,51.0,328.0,31.3,4 487 915,62.5,63.2,61.7,5.74,,,,,,
Honduras,HND,7.1,7.35,4.89,97.1,3.0,,,2.5,79.0,0.0,0.5,60.0,60.5,59.6,,12.3,94.0,73.0,31.0,7.1,<0.1,0.27,17.8,3.1,15.5,74.0,113.0,8.8,64,54,73.0,47.0,18.5,2 208 913,69.0,70.5,67.4,3.41,61.0,,,,,
Hungary,HUN,7.43,56.65,34.56,16.7,16.5,12.31,0.91,0.2,,0.9,0.5,64.8,66.7,62.9,8.4,32.2,100.0,99.0,5.9,2.0,No data,,21.7,11.3,3.8,99.0,42.0,2.1,79,71,99.0,12.0,7.4,19,74.4,77.8,70.9,,75.0,,,,,
Iceland,ISL,7.84,158.64,43.73,3.1,11.9,,,0.0,,0.2,0.0,71.4,71.3,71.4,11.04,9.4,97.0,92.0,3.2,2.4,<0.1,,8.5,8.2,2.6,89.0,8.0,1.3,≥80 ,78,92.0,3.0,2.4,0,82.6,83.9,81.3,,84.0,,2.8,9.8,35.0,
India,IND,1.59,17.2,7.23,11.3,12.6,17.46,6.67,,74.3,0.2,0.1,58.1,58.3,58.0,8.56,24.3,89.0,91.0,195.0,36.4,<0.1,1.52,23.6,4.5,27.7,90.0,141.0,17.3,63,88,83.0,80.0,14.6,622 238 663,67.3,69.0,65.8,0.19,,,54.9,77.5,,
Indonesia,IDN,1.03,32.4,5.24,36.1,1.2,1.97,0.35,0.3,77.0,1.3,0.2,60.7,61.5,59.9,1.97,38.2,97.0,83.0,387.0,15.8,<0.1,3.88,21.9,0.1,20.6,62.0,97.0,10.5,55,80,31.0,140.0,11.3,67 464 958,68.3,70.2,66.4,0.72,29.0,,35.2,69.7,,
Iran (Islamic Republic of),,5.26,28.76,18.11,23.4,4.1,15.36,3.66,0.4,,0.1,0.6,64.0,64.0,64.0,3.36,13.3,99.0,99.0,11.0,2.9,<0.1,2.73,13.9,0.1,11.8,99.0,58.0,7.4,74,76,,16.0,20.6,5512,74.7,76.4,73.1,0.02,,,34.7,70.6,,
Iraq,IRQ,5.02,26.48,10.22,70.0,3.0,19.57,4.18,1.6,53.8,0.3,0.2,61.0,62.0,60.0,6.19,19.2,96.0,91.0,21.0,4.4,No data,0.0,22.7,0.6,22.6,83.0,90.0,12.9,59,59,14.0,66.0,21.5,2 170 486,71.5,73.9,68.9,0.21,,,87.8,85.7,,
Ireland,IRL,4.75,147.77,38.75,3.3,8.5,,,0.0,,0.0,0.3,70.0,70.2,69.8,11.05,19.3,100.0,89.0,4.6,2.7,<0.1,,9.6,10.5,3.8,,13.0,2.5,≥80 ,77,83.0,4.0,2.8,0,81.6,83.4,79.9,,84.0,,10.5,10.5,,
Israel,ISR,8.97,58.99,37.97,6.2,4.4,12.81,2.61,0.0,,0.1,0.0,70.8,70.1,72.1,8.64,20.4,100.0,98.0,2.8,2.0,<0.1,,7.6,3.1,3.4,92.0,15.0,1.7,≥80 ,86,94.0,2.0,4.2,0,81.7,82.1,82.4,,60.0,,,,,
Italy,ITA,8.82,67.55,41.91,2.8,7.0,,,0.0,,0.3,0.3,70.6,71.1,70.0,13.42,22.4,99.0,95.0,4.4,3.0,<0.1,,9.1,8.3,2.8,85.0,15.0,1.6,≥80 ,69,92.0,6.0,5.0,223,82.2,84.3,80.0,,46.0,,30.6,26.5,26.6,
Jamaica,JAM,0.93,16.17,4.6,34.8,1.7,,,0.0,78.7,0.6,0.1,61.7,63.0,60.5,4.83,9.7,100.0,98.0,3.2,2.3,0.42,,20.2,3.9,19.3,89.0,36.0,14.5,74,69,,130.0,17.8,8182,70.1,72.8,67.6,2.3,8.0,,,,,
Japan,JPN,8.16,129.78,26.49,1.7,17.4,11.1,2.0,,,1.0,0.2,73.4,74.8,71.9,20.26,19.2,100.0,98.0,9.3,8.4,No data,,8.0,6.3,2.4,94.0,12.0,0.8,≥80 ,99,97.0,3.0,2.7,7,84.5,87.2,81.7,,35.0,,33.9,20.4,,
Jordan,JOR,7.94,33.33,28.51,17.0,0.6,6.36,1.25,,54.2,0.6,0.3,65.1,64.5,65.6,20.3,35.6,100.0,96.0,3.4,1.9,<0.01,,11.6,0.3,13.2,89.0,39.0,7.6,65,73,,31.0,13.6,89,75.6,77.0,74.6,5.42,,,76.3,57.2,,
Kazakhstan,KAZ,2.13,64.9,37.54,17.2,14.6,3.72,0.17,0.0,73.1,0.2,1.4,61.6,63.8,59.2,3.21,22.2,100.0,99.0,70.0,3.2,0.12,,21.2,5.4,9.6,99.0,82.0,4.3,≥80 ,73,98.0,10.0,12.2,0,70.3,73.9,66.4,0.45,,,,,,
Kenya,KEN,0.25,22.73,2.89,45.8,4.6,5.19,1.4,0.6,79.3,0.4,1.5,58.2,59.2,57.3,0.21,10.7,89.0,93.0,223.0,29.0,0.31,59.53,18.0,2.5,39.9,76.0,133.0,21.5,53,57,91.0,379.0,28.2,9 778 105,66.8,69.2,64.4,3.75,33.0,,21.4,63.6,,
Kiribati,KIR,0.68,36.28,,50.6,17.5,,,1.8,53.1,1.6,1.7,53.6,55.5,51.8,0.25,39.7,92.0,90.0,533.0,37.4,No data,,44.1,1.0,55.1,47.0,248.0,22.4,48,42,91.0,80.0,6.2,128 779,60.9,64.0,57.8,43.62,54.0,,,,,
Kuwait,KWT,8.1,45.45,22.73,0.4,2.3,,,0.0,,0.0,0.4,67.8,68.4,67.5,9.0,19.9,99.0,99.0,9.7,0.8,<0.1,,9.3,0.1,8.8,91.0,45.0,4.8,78,97,99.0,8.0,9.2,17,79.0,81.8,77.3,,,,59.1,45.5,,
Kyrgyzstan,KGZ,1.56,40.76,15.68,29.0,6.8,4.91,0.83,0.0,64.6,0.2,0.7,63.4,65.5,61.3,0.25,27.3,100.0,86.0,112.0,2.3,0.11,,18.8,3.9,17.0,93.0,124.0,10.8,69,49,91.0,42.0,13.3,2 169 854,72.2,75.8,68.5,4.23,46.0,,,,,0.0
Lao People's Democratic Republic,LAO,0.76,10.27,3.31,89.0,4.6,8.4,4.12,,72.3,0.7,0.3,60.4,61.6,59.3,2.27,27.2,80.0,84.0,132.0,20.5,0.18,0.29,26.5,11.2,39.0,68.0,196.0,20.0,52,55,81.0,112.0,16.4,2 025 831,68.2,70.5,66.1,6.89,44.0,,55.9,52.6,,
Latvia,LVA,7.08,43.74,33.98,8.7,15.2,21.41,5.7,0.0,,0.3,0.8,63.8,66.7,60.8,8.54,33.9,98.0,98.0,16.0,2.6,0.15,,22.7,14.7,3.0,92.0,40.0,1.5,75,68,95.0,19.0,9.8,7,73.2,77.9,68.5,,71.0,,3.8,16.2,2.1,
Lebanon,LBN,12.5,19.18,26.8,,0.7,,,,,0.1,0.2,63.2,64.4,62.1,16.3,34.3,,55.0,10.0,2.4,<0.1,,11.9,1.6,18.3,53.0,,11.1,73,70,65.0,15.0,9.7,134,74.3,77.5,71.2,17.53,,,52.5,37.2,,
Lesotho,LSO,0.37,17.56,2.35,53.2,28.7,,,0.9,82.8,1.2,3.5,44.6,46.4,43.1,1.12,24.3,89.0,87.0,664.0,108.1,3,,36.3,3.8,58.9,82.0,291.0,28.7,53,42,87.0,478.0,21.6,387 421,51.5,54.6,48.7,5.11,64.0,,,,,
Liberia,LBR,0.02,10.07,1.78,130.8,6.0,6.75,1.13,6.1,47.5,4.7,0.8,54.0,53.4,54.5,0.32,8.2,84.0,82.0,308.0,34.6,0.15,186.8,22.0,2.8,72.9,60.0,155.0,29.6,45,48,80.0,628.0,15.3,3 762 030,63.5,64.3,62.6,10.82,40.0,,,,,
Libya,LBY,5.8,63.77,20.42,,5.0,,,,,0.4,0.9,62.1,62.5,61.7,4.1,,,73.0,59.0,2.2,No data,,19.8,0.0,30.8,72.0,,5.7,62,38,73.0,59.0,34.0,451,72.2,74.2,70.2,2.43,54.0,,,,,
Lithuania,LTU,16.84,78.43,61.04,6.0,22.1,,,0.0,,0.1,1.2,64.2,67.0,61.4,12.39,31.4,100.0,90.0,28.0,2.6,<0.1,,19.8,12.2,3.4,86.0,39.0,1.9,75,87,82.0,8.0,6.3,89,74.1,78.6,69.6,,43.0,,9.4,17.0,,
Luxembourg,LUX,9.74,137.21,29.84,2.8,8.2,4.34,0.22,0.0,,0.1,0.1,71.2,71.7,70.8,6.97,23.0,,99.0,7.3,1.9,<0.1,,7.8,10.8,2.3,90.0,13.0,1.6,≥80 ,67,96.0,12.0,3.9,3,82.8,84.8,80.8,,14.0,,4.7,10.9,,
Madagascar,MDG,0.08,2.81,1.72,143.0,6.1,,,7.1,64.7,2.1,1.4,55.1,55.2,55.1,0.01,26.8,46.0,65.0,233.0,40.1,No data,200.02,25.9,0.9,64.8,47.0,209.0,23.8,35,59,73.0,445.0,22.5,21 278 009,62.9,64.0,61.9,5.49,,,,,,
Malawi,MWI,0.05,5.07,0.54,135.6,7.6,2.91,0.41,2.0,77.3,1.4,1.1,54.7,55.9,53.5,0.06,9.7,96.0,91.0,119.0,30.8,0.61,227.92,24.9,1.7,38.3,65.0,150.0,18.8,48,58,91.0,225.0,20.2,10 944 581,62.5,65.3,59.7,9.11,27.0,,,,,
Malaysia,MYS,4.06,40.54,23.41,6.0,5.7,1.52,0.13,0.0,49.6,0.1,0.7,63.9,65.1,63.0,6.26,22.0,100.0,97.0,122.0,14.4,<0.1,0.0,19.9,0.8,8.1,96.0,80.0,4.1,76,87,95.0,26.0,13.9,111 680,72.8,75.3,70.6,0.05,0.0,,,,,
Maldives,MDV,1.02,50.17,22.35,8.3,1.5,10.27,4.07,0.1,29.2,0.2,0.1,66.7,66.4,66.8,7.01,26.3,100.0,99.0,40.0,2.3,No data,,9.0,1.6,5.7,99.0,32.0,3.9,61,58,,32.0,1.3,3417,75.4,76.6,74.5,0.99,61.0,,,,,
Mali,MLI,0.01,2.68,1.88,144.8,4.2,1.7,0.12,5.0,41.2,4.6,1.2,53.6,53.1,54.0,0.75,8.0,66.0,77.0,48.0,66.1,0.24,346.22,23.0,3.6,91.3,59.0,174.0,32.4,41,46,77.0,367.0,20.2,11 060 297,61.7,62.3,61.1,7.24,,,13.6,60.9,,0.0
Malta,MLT,5.11,82.44,45.13,10.1,6.5,15.94,2.75,0.0,,0.2,0.1,70.7,71.0,70.4,15.26,24.7,100.0,98.0,15.0,4.6,<0.1,,9.8,6.2,5.5,95.0,21.0,3.7,≥80 ,69,97.0,8.0,1.9,0,81.8,83.7,80.0,,73.0,,19.9,13.4,,
Marshall Islands,MHL,1.59,43.05,,,,,,,,0.4,,,,,,29.8,92.0,85.0,692.0,,No data,,,,28.2,61.0,,13.0,59,55,62.0,155.0,11.9,19 594,,,,29.7,27.0,,,,,
Mauritania,MRT,0.31,16.09,2.61,89.6,2.7,,,6.3,26.9,3.4,0.5,60.4,59.8,61.1,0.2,9.5,70.0,90.0,74.0,37.8,<0.1,38.34,18.7,0.0,37.8,24.0,130.0,21.5,40,29,90.0,381.0,9.5,946 623,68.9,69.4,68.4,4.84,14.0,,,,,
Mauritius,MUS,3.24,40.48,14.36,20.8,10.5,8.2,1.9,0.4,,0.4,0.8,63.6,65.6,61.8,0.32,20.9,100.0,96.0,12.0,5.5,0.86,,21.7,7.7,15.2,94.0,31.0,9.0,66,46,91.0,66.0,9.7,6299,73.4,76.9,70.1,9.12,26.0,,39.4,60.4,,
Mexico,MEX,1.18,30.28,25.88,39.9,7.0,4.44,1.22,0.8,83.2,0.0,0.4,61.4,63.5,59.5,,14.9,88.0,85.0,29.0,3.5,0.15,0.02,16.3,6.0,12.5,74.0,45.0,7.6,75,79,78.0,42.0,12.0,279 519,70.8,74.7,67.2,0.06,62.0,,,,,
Micronesia (Federated States of),,,22.21,9.74,,19.8,,,,,0.4,0.5,57.9,59.6,56.4,,,,79.0,234.0,14.0,No data,,40.5,2.0,23.1,59.0,255.0,12.1,48,42,73.0,129.0,14.1,36 871,65.7,68.7,63.0,21.35,48.0,,,,,
Monaco,MCO,9.19,,86.09,,,,,,,0.2,,,,,23.36,,,99.0,0.99,,No data,,,,2.7,80.0,,1.5,≥80 ,79,,5.0,0.0,0,,,,,,,,,,
Mongolia,MNG,5.41,42.17,41.3,17.0,18.5,14.03,3.46,0.1,63.6,0.5,3.0,61.3,63.9,58.8,11.11,29.5,100.0,96.0,491.0,3.2,<0.1,,26.3,7.7,13.6,96.0,215.0,7.4,65,60,96.0,41.0,12.4,0,70.1,73.9,66.4,2.79,,,,,0.3,
Montenegro,MNE,0.58,60.8,27.83,8.7,11.3,10.27,0.78,0.0,32.9,0.7,0.3,65.1,66.8,63.5,2.75,32.0,99.0,81.0,14.0,1.8,<0.1,,18.0,8.0,2.6,69.0,115.0,1.0,72,55,,6.0,9.1,0,74.7,77.9,71.6,14.27,19.0,,,,,
Morocco,MAR,1.4,8.69,7.4,21.8,2.9,8.2,0.9,0.0,72.0,0.2,0.7,62.3,61.8,62.8,2.7,13.0,87.0,99.0,92.0,4.6,<0.1,0.0,22.0,0.6,16.6,99.0,66.0,10.2,69,75,98.0,70.0,18.6,2405,72.6,73.7,71.5,1.14,,7.1,23.6,46.1,,
Mozambique,MOZ,0.11,9.34,1.75,158.0,10.6,3.58,0.97,7.0,52.1,0.6,1.5,49.7,50.8,48.7,0.15,,68.0,70.0,361.0,45.6,2.6,275.2,26.6,1.9,61.7,44.0,230.0,25.4,44,53,55.0,82.0,20.1,23 744 174,57.7,60.5,54.8,7.83,57.0,,6.7,64.3,,
Myanmar,MMR,0.72,2.05,7.57,,2.9,12.71,3.47,,74.9,1.1,0.9,59.8,61.7,57.9,0.8,44.4,60.0,76.0,558.0,12.9,0.19,17.96,24.0,1.9,38.7,65.0,178.0,20.6,52,64,78.0,185.0,19.3,19 836 694,67.8,71.1,64.7,2.41,77.0,,66.7,90.9,,
Namibia,NAM,0.78,53.86,5.53,22.4,8.6,1.52,0.32,0.3,,0.4,1.4,52.8,54.6,51.0,2.27,14.1,,83.0,468.0,28.8,2.2,8.24,23.1,12.0,40.7,62.0,143.0,24.1,63,64,83.0,139.0,22.0,387 962,60.4,63.4,57.3,2.52,,,0.0,18.2,,
Nauru,NRU,3.45,73.04,12.73,56.1,,,,,,0.5,,,,,1.82,48.3,98.0,99.0,174.0,,No data,,,3.0,8.9,99.0,,4.8,60,47,97.0,273.0,8.0,12 797,,,,222.11,,,,,,
Nepal,NPL,1.64,40.92,10.11,71.2,10.1,10.66,2.1,0.0,55.1,0.2,2.9,60.2,60.7,59.8,2.25,28.3,80.0,94.0,229.0,17.8,<0.1,0.0,19.4,3.7,26.5,89.0,180.0,16.6,54,49,88.0,142.0,28.2,14 786 109,70.0,71.8,68.3,3.65,,,83.3,77.1,,
Netherlands (Kingdom of the),,5.67,116.65,38.76,2.2,11.5,,,0.0,,0.1,0.1,70.0,69.9,70.0,2.17,21.3,,92.0,4.5,3.4,No data,,9.9,8.7,4.0,81.0,13.0,2.6,≥80 ,85,88.0,4.0,3.4,60,81.1,82.6,79.6,,60.0,13.8,2.3,7.6,,
New Zealand,NZL,5.09,123.04,36.11,11.0,11.9,,,0.1,,0.8,0.2,70.0,70.3,69.6,7.09,12.2,96.0,88.0,6.6,2.1,<0.01,,10.3,9.2,4.7,84.0,12.0,2.7,≥80 ,85,86.0,7.0,6.6,0,82.2,84.0,80.4,,66.0,,,,,
Nicaragua,NIC,0.41,15.69,6.82,71.3,4.2,,,4.7,,0.1,0.1,64.6,66.1,63.1,,,94.0,89.0,43.0,3.5,<0.1,1.42,12.6,3.9,13.4,95.0,85.0,8.4,70,62,90.0,60.0,13.6,1 892 977,75.0,77.7,72.3,10.98,,,,,7.4,
Niger,NER,0.01,4.21,0.38,150.3,4.5,6.52,0.91,3.0,38.2,3.4,1.6,52.6,52.4,52.8,0.02,7.7,44.0,85.0,74.0,70.3,<0.1,305.14,20.2,0.2,114.8,68.0,220.0,33.8,35,55,85.0,350.0,24.9,6 194 250,60.0,60.9,59.0,4.95,,,,,,
Nigeria,NGA,0.23,16.47,3.8,74.6,5.0,15.79,4.09,1.9,41.9,2.9,1.1,54.9,55.0,54.9,0.82,3.3,51.0,62.0,219.0,71.7,0.34,299.0,17.7,2.3,104.9,38.0,175.0,33.7,38,57,60.0,993.0,17.2,92 474 258,63.4,64.8,62.1,2.59,27.0,,65.1,,,
Niue,NIU,,111.11,,0.0,,,,0.0,,0.4,,,,,,,,99.0,48.0,,No data,,,3.3,24.3,99.0,,12.6,44,71,99.0,,0.0,0,,,,7.18,100.0,,,,,
North Macedonia,MKD,9.24,55.15,29.44,14.0,5.8,9.73,1.5,0.3,29.6,0.1,1.1,63.7,64.6,62.9,5.95,,100.0,86.0,10.0,1.0,<0.1,,19.6,5.8,3.3,88.0,96.0,1.4,74,62,56.0,3.0,5.7,0,73.0,75.2,70.9,1.73,40.0,,53.8,60.0,,
Norway,NOR,8.79,165.09,49.75,1.4,13.2,,,0.0,,0.0,0.3,71.2,71.1,71.2,2.81,14.2,99.0,96.0,2.9,3.6,No data,,7.8,7.5,2.4,94.0,8.0,1.3,≥80 ,95,95.0,1.0,1.5,12,82.9,84.3,81.5,,94.0,,,,,
"occupied Palestinian territory, including east Jerusalem",,,,,42.8,0.7,9.0,1.5,0.0,61.0,0.1,0.1,62.9,63.8,62.1,,,100.0,88.0,0.35,,,,18.3,,26.3,89.0,,8.7,,,87.0,16.0,4.7,,73.5,75.9,71.1,,,,,,,
Oman,OMN,3.59,46.61,19.92,5.1,0.9,,,0.0,,0.1,0.0,63.2,63.6,62.7,7.01,8.4,100.0,99.0,11.0,1.6,<0.1,0.0,14.6,0.7,10.4,99.0,104.0,4.7,70,76,99.0,13.0,11.0,2246,72.5,74.9,70.9,,,,28.6,78.2,,
Pakistan,PAK,1.16,5.2,11.6,41.0,5.6,5.39,1.02,,48.5,0.9,0.1,56.9,56.7,57.1,2.0,18.9,68.0,86.0,277.0,38.8,No data,17.61,25.5,0.1,58.5,80.0,195.0,37.6,45,52,86.0,155.0,11.9,27 745 571,66.0,66.9,65.1,1.38,,,67.1,83.5,,
Palau,PLW,3.96,66.1,18.08,36.5,,,,,,0.0,,,,,2.81,17.3,99.0,97.0,97.0,,No data,,,,22.3,89.0,,11.7,65,57,93.0,89.0,22.2,4,,,,97.85,25.0,,,,,
Panama,PAN,2.8,33.45,16.25,51.9,3.3,6.2,0.65,2.0,,0.1,0.2,66.7,68.3,65.3,2.18,5.2,93.0,66.0,58.0,4.2,0.35,3.18,10.9,6.3,13.3,73.0,17.0,6.6,78,68,69.0,37.0,7.3,58 388,77.2,80.3,74.4,0.67,66.0,,,,,
Papua New Guinea,PNG,0.05,5.08,0.61,67.7,1.8,,,1.1,49.2,1.4,0.4,57.5,58.1,57.0,0.08,39.6,56.0,35.0,432.0,24.9,0.65,147.2,28.5,1.3,40.3,41.0,191.0,20.5,30,45,29.0,189.0,14.9,7 465 549,65.5,66.9,64.2,6.19,,,65.5,,,
Paraguay,PRY,13.41,94.09,38.93,72.0,6.4,,,3.2,78.9,0.4,0.2,60.9,62.2,59.7,6.73,10.7,91.0,71.0,62.0,4.6,0.2,,16.1,6.7,17.0,57.0,56.0,9.1,72,63,77.0,58.0,21.0,2 087 033,70.3,73.2,67.6,0.9,22.0,,,,,
Peru,PER,2.15,27.38,16.88,29.3,1.5,12.59,2.0,1.0,67.2,0.1,0.8,63.0,64.5,61.6,1.65,7.1,95.0,84.0,173.0,7.6,0.19,2.19,12.3,6.8,15.8,66.0,39.0,7.8,71,40,80.0,51.0,12.7,420 150,71.7,74.8,68.8,0.66,74.0,,49.2,76.7,,69.2
Philippines,PHL,2.51,47.88,7.92,27.0,3.5,6.31,1.41,0.5,58.2,0.4,0.2,58.8,60.8,57.1,4.73,20.4,90.0,89.0,643.0,16.9,0.24,0.23,31.9,5.7,26.9,69.0,205.0,14.0,58,62,85.0,84.0,9.7,49 499 441,66.4,69.9,63.4,1.02,10.0,,44.4,43.9,,
Poland,POL,10.73,63.25,40.31,6.1,13.7,16.09,1.96,0.0,,0.0,1.2,65.5,68.1,63.1,9.99,23.6,100.0,94.0,10.0,5.4,No data,,17.0,11.9,4.4,86.0,41.0,2.4,≥80 ,74,88.0,2.0,6.5,66,75.4,79.4,71.6,,,,13.7,18.8,,
Portugal,PRT,12.05,80.09,58.51,6.1,11.5,,,0.1,,0.0,0.3,69.5,70.5,68.5,10.17,25.6,97.0,99.0,16.0,6.8,<0.1,,10.5,11.2,3.2,95.0,10.0,1.6,≥80 ,85,98.0,15.0,7.2,8,81.2,83.9,78.3,,90.0,,,,,
Puerto Rico,PRI,,,,12.3,5.4,,,0.1,,,0.3,68.8,71.0,66.6,,,,,0.71,,,,10.1,,,,,,,,,11.0,12.5,,79.9,83.5,76.2,,,,,,,
Qatar,QAT,7.39,84.89,30.22,4.0,4.7,1.3,0.1,0.0,,0.1,0.4,66.2,65.0,66.5,12.44,12.5,100.0,95.0,35.0,0.4,<0.1,,12.1,1.3,6.0,99.0,91.0,3.7,76,89,97.0,4.0,7.3,205,76.7,78.0,76.0,,,,30.1,43.3,,
Republic of Korea,,5.41,90.86,26.1,0.4,27.5,11.96,2.87,0.0,74.1,0.1,0.2,72.5,74.1,70.7,8.04,20.0,100.0,98.0,38.0,5.2,No data,0.18,6.9,8.4,2.8,96.0,19.0,1.2,≥80 ,99,97.0,4.0,6.9,3,83.8,86.7,80.7,,65.0,,45.7,38.8,,
Republic of Moldova,MDA,4.98,63.17,40.16,22.9,14.1,14.15,2.48,0.1,59.5,0.2,4.1,61.2,63.6,58.8,1.06,29.7,100.0,87.0,76.0,3.6,0.3,,24.7,14.1,14.7,93.0,67.0,10.8,71,62,85.0,19.0,9.1,0,69.6,73.6,65.5,2.43,44.0,,23.8,71.9,2.2,21.7
Romania,ROU,11.4,82.53,36.25,30.8,9.6,13.42,2.19,1.4,,0.3,1.9,63.8,66.2,61.6,11.79,30.0,98.0,78.0,55.0,7.2,<0.1,,21.5,17.1,6.6,62.0,46.0,3.3,78,62,78.0,12.0,9.6,38,72.8,76.5,69.2,,6.0,,,,,
Russian Federation,RUS,2.79,70.39,51.11,13.4,21.4,7.7,0.9,0.1,,0.6,2.8,60.9,63.6,58.2,0.39,29.2,100.0,97.0,38.0,3.2,No data,,22.4,10.5,4.5,97.0,80.0,1.7,79,100,93.0,9.0,10.6,1,70.0,74.3,65.6,,,,7.3,64.6,,
Rwanda,RWA,0.2,11.06,0.9,24.3,8.7,1.15,0.13,0.1,72.1,0.5,1.3,58.7,59.4,57.9,0.06,14.3,94.0,94.0,55.0,25.0,0.24,53.64,20.0,6.5,40.0,88.0,167.0,18.1,49,55,94.0,229.0,11.6,7 905 114,67.5,69.4,65.4,7.1,0.0,,,48.0,,
