location,Anxiety_disorders,Attention_deficit_hyperactivity_disorder,Autism_spectrum_disorders,Bipolar_disorder,Conduct_disorder,Depressive_disorders,Eating_disorders,Idiopathic_developmental_intellectual_disability,Mental_disorders,Other_mental_disorders,Schizophrenia
Northern Mariana Islands,490.707653598137,37.951565719483256,121.72951544584826,80.78539202459588,58.26038595306315,576.7553090247922,42.64921910613352,25.96190389568922,1753.9053790331968,113.63339503921958,205.47103922623427
Norway,934.218305741906,33.333228958701504,145.02448862542096,126.0905167192642,77.05460953862799,559.5052537028855,126.34617704073057,22.638020679924303,2308.757301306347,112.09019921991356,172.45650107897214
Oman,569.9376436094923,49.91699210310389,141.8547053333368,137.1227337246211,53.74134914991426,692.8617784120112,71.78086891458828,32.54852873739598,2080.1564681099385,117.240487579639,213.1513805458377
Pakistan,454.9042986254542,26.261401804783752,84.50211323967886,77.17601208788112,62.92524522305613,866.0811658287164,38.61302983638863,63.07209227740956,1997.5580302392937,104.88986495598516,219.132806359939
Palau,486.59824345731823,38.52675928326988,123.1266361506578,79.80665696256128,58.45114951975404,576.3100354006774,39.25180266993381,27.1899495852992,1744.236804312959,113.95801943186054,201.0175518516291
Palestine,666.771660583305,46.81773816765433,121.02877150389264,140.830173124689,53.55918463298893,907.5037286384788,40.47480740548086,34.024391684819186,2334.7568649108366,111.01721740733213,212.72919176219415
Panama,502.4298052846669,47.6746397818065,134.12763907349404,158.05019748059564,73.50358901606323,534.4742243215289,85.98495358193183,21.70744357106895,1883.070469678272,110.86793483665124,214.25004273046468
Papua New Guinea,476.9085036909093,37.77448246743394,119.39880788547904,79.63493661374785,57.94856731608058,610.8958847602601,26.265389532019597,35.49664038469353,1753.6930924729263,112.8677591429666,196.50212067933649
Paraguay,935.9274962002976,75.22359495555442,107.1347819005692,166.6748581531196,63.57350424810191,637.8044741391358,69.35619478430179,23.40813449453413,2382.193760742868,111.06967548222129,192.0210463850328
Peru,984.0386724521042,73.61844500203767,123.2775694174685,155.27791490626373,70.32301882717265,637.5514166804633,99.59415528312898,23.976477337003548,2435.9172575504954,111.53802500815584,156.72156263669854
Philippines,324.8606367438107,25.53908334015522,120.98608184430633,69.00206707836142,59.13587725829996,496.25654440895016,31.6706267416556,34.663802835122226,1466.573176426197,106.07219195096523,198.38626422456923
Poland,456.4790038125678,24.81970330190637,127.2086277280091,102.1247256593328,75.8157154944818,448.5241640107943,55.68066668601679,65.5077071367692,1653.5083099981762,104.43564586714764,192.9123503011504
Portugal,1404.7528820404364,49.33427012010282,163.71936661171725,159.14042241549464,72.86381832643576,761.9811841842949,93.47777931407713,25.97132294664184,3021.899693177723,119.38735270279382,171.27129451572748
