LOCATION,Eating_disorders,Mental_disorders,Pays_code_iso3
Mozambique,21.34364341783085,2054.1895267990485,MOZ
Myanmar,27.516747440399143,1449.1105164684388,MMR
Namibia,38.66701225363487,1786.1903451213443,NAM
Nauru,34.238815484456914,1725.1814268256626,NRU
Nepal,33.307234462787264,1717.2473132605826,NPL
Netherlands,100.6427411774558,3271.434425590815,NLD
New Zealand,111.1420052101903,2736.8999126414437,NZL
Nicaragua,53.874044643225815,2048.0221950016803,NIC
Niger,21.542542738196836,2023.390817187248,NER
Nigeria,33.929643716856155,2140.863592742932,NGA
Niue,38.88312329574764,1750.219895290301,NIU
North Macedonia,43.34675027194047,1791.180955780462,MKD
Northern Mariana Islands,42.64921910613352,1753.9053790331968,MNP
Norway,126.34617704073057,2308.757301306347,NOR
Oman,71.78086891458828,2080.1564681099385,OMN
Pakistan,38.61302983638863,1997.5580302392937,PAK
Palau,39.25180266993381,1744.236804312959,PLW
Palestine,40.47480740548086,2334.7568649108366,
Panama,85.98495358193183,1883.070469678272,PAN
Papua New Guinea,26.265389532019597,1753.6930924729263,PNG
Paraguay,69.35619478430179,2382.193760742868,PRY
Peru,99.59415528312898,2435.9172575504954,PER
Philippines,31.6706267416556,1466.573176426197,PHL
Poland,55.68066668601679,1653.5083099981762,POL
Portugal,93.47777931407713,3021.899693177723,PRT
Puerto Rico,104.59052513137142,2512.232834478573,PRI
Qatar,95.3226209171142,1902.8555266358376,QAT
Republic of Korea,81.55147354845023,1988.50964893558,
Republic of Moldova,36.8026690633234,1821.4789078858023,MDA
Romania,50.57212067042982,1667.4642749729833,ROU
Russian Federation,52.39758407659384,1752.0786798915206,RUS
Rwanda,24.39585245790256,1961.1180442832745,RWA
Saint Kitts and Nevis,98.05732873121428,2259.3045477559576,KNA
Saint Lucia,76.00293496990258,2253.6160638866995,LCA
Saint Vincent and the Grenadines,75.0021733818643,2183.5488115676526,VCT
Samoa,30.33401725309442,1721.8326882075028,WSM
San Marino,113.95584865721894,2635.0828081960794,SMR
Sao Tome and Principe,29.577167187429737,2069.657796287342,STP
Saudi Arabia,76.655285283197,2314.577338277543,SAU
Senegal,27.84194505354294,2015.985515722627,SEN
Serbia,44.687222438379024,1900.2423002573048,SRB
Seychelles,43.08247695457848,1407.5464969304344,SYC
Sierra Leone,23.096144455581168,2112.063287961415,SLE
Singapore,106.34418179639944,1759.5042708427495,SGP
Slovakia,54.25778463469415,1743.9241936805208,SVK
Slovenia,55.05772519080064,1917.542207187407,SVN
Solomon Islands,23.559948896274104,1807.380626755853,SLB
Somalia,16.249387273698677,1865.0164543710057,SOM
South Africa,42.78460131911034,1974.2866729194,ZAF
South Sudan,21.95501173347948,2076.450958538064,SSD
Spain,120.10479504414047,2487.4605673566384,ESP
Sri Lanka,36.20736252848352,1414.8272060274132,LKA
Sudan,36.55775447247649,2212.77648563498,SDN
Suriname,78.14337043040237,2202.1130474525366,SUR
Sweden,116.02803002778232,2386.5143519454205,SWE
Switzerland,104.95426138718958,2685.4864316477765,CHE
Syrian Arab Republic,38.90848197990151,2981.617044381352,SYR
Taiwan,77.53286921905796,1556.354799865664,TWN
Tajikistan,28.83667911739931,1704.31519458588,TJK
Thailand,39.41858692373892,1296.265300333528,THA
Timor-Leste,22.854102823240385,1385.1439426839968,TLS
Togo,24.52734250227929,2487.0673339397104,TGO
Tokelau,36.264402302449305,1744.0085084360635,TKL
Tonga,31.219949370047644,2008.792477082952,TON
Trinidad and Tobago,96.7501311787443,2257.5967728451283,TTO
Tunisia,52.16290903539238,2545.6054600729403,TUN
Turkmenistan,45.951608097967686,1673.5230333958746,TKM
Tuvalu,27.448739891486355,1720.8184083427534,TUV
Türkiye,71.8830374890065,2183.1981593301034,TUR
Uganda,25.67713270968042,1962.2541261964489,UGA
Ukraine,39.41672172860186,2134.616011177849,UKR
United Arab Emirates,79.1919885936205,1995.0654184015184,ARE
United Kingdom,105.80237627099916,3216.373249759623,GBR
United Republic of Tanzania,26.86181947952797,1824.3581236266057,TZA
United States Virgin Islands,102.30782324719772,2161.5410454760777,
United States of America,62.68450039889797,2471.1788910438886,USA
Uruguay,79.42654904226544,2496.901742604983,URY
Uzbekistan,37.98511185657991,1552.6046330400948,UZB
Vanuatu,24.93814519626166,1706.5237656107877,VUT
Venezuela (Bolivarian Republic of),59.74300563690005,2180.483570908121,
Viet Nam,31.17802073127243,1282.6327241199813,VNM
Yemen,31.169489136440987,2166.6635359045345,YEM
Zambia,28.7448292463776,1995.4758030611376,ZMB
Zimbabwe,25.94449987821068,1880.185396400609,ZWE
