LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants,Espérance de vie totale,Taux mortalité brute,Médecins pour 10k habitants,Taux de suicides,Mortalité Maternelle à la naissance,Eating_disorders,Mental_disorders,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Libya,LBY,4.7,5.06,9.2,72.2,5.7,5.8,5.0,59.0,59.61823950157152,2301.0614637918534,7458.48917756374,7525.80299308216,9965.83236729757,11196.5854810844,9963.19489084483,6650.33810585348,4935.82787349801,5986.63694851258,6026.51518708812,6569.16408678648
Lithuania,LTU,4.6,13.03,1.6,74.1,1.9,16.84,22.1,8.0,54.72002796654741,1940.817444608247,14269.8039878287,14934.2702840428,16800.1510246099,19247.2315367967,19608.7943945553,20428.6478157394,23870.4594851722,25085.784063499,27786.0057829276,29384.0189598663
Luxembourg,LUX,,11.02,,82.8,1.6,9.74,8.2,12.0,134.56345784767228,2524.513366294492,105462.012584423,106899.293549552,110193.213797228,116926.759593905,112696.649059674,116860.02817236,134965.815442152,123719.658915996,133230.619178899,137781.681659123
Madagascar,MDG,2.3,5.74,38.4,62.9,23.8,0.08,6.1,445.0,22.85948408225365,1931.6113905275224,445.320069480568,453.970714522463,491.866848718929,500.45718552916,499.818837622534,450.771615201509,483.469463351195,503.51453347296,508.718427705591,544.987501003384
Malawi,MWI,4.4,3.29,33.2,62.5,18.8,0.05,7.6,225.0,22.17209927428961,1913.1978404953416,539.605363240686,450.506105510719,495.769683367165,533.202567189331,580.889139762475,602.507478176106,617.446994451007,604.269740360317,633.214767978695,522.570393642547
Malaysia,MYS,5.3,8.01,24.3,72.8,4.1,4.06,5.7,26.0,44.14120712962056,1664.299117280785,9648.6797937523,9476.53409809923,9862.54806612235,10901.8019954421,10920.191763972,9957.52626697613,10903.1037480772,11754.5678336248,11386.0395636528,11874.4273684245
Maldives,MDV,3.0,18.17,14.2,75.4,3.9,1.02,1.5,32.0,35.60785115652402,1388.775320937685,9644.90655028145,9947.80744731739,10509.628805812,11423.2838427029,11740.2724029785,7393.8886543933,10176.143882547,11786.0191492983,12587.6126038651,13379.3513577224
Mali,MLI,1.3,5.69,23.2,61.7,32.4,0.01,4.2,367.0,24.66360875875841,2059.7104880012603,838.11986940103,872.468587171653,924.057531692284,996.379292136901,971.949318638092,953.242943290974,1027.27345365357,976.914116406452,1043.9533853528,1094.61949265799
Malta,MLT,10.1,16.21,3.5,81.8,3.7,5.11,6.5,8.0,101.18459496575451,2677.744033906084,25529.6813337717,26459.0770929988,30317.2443175543,33382.2677499267,32421.9179752262,31823.4363934505,38096.8360735119,35638.8869457406,40905.8059585057,43898.5781808597
Marshall Islands,MHL,4.6,6.65,30.0,,13.0,1.59,,155.0,28.57448062006108,1710.3774530326723,3764.34426229508,4229.80988911945,4592.83457628576,4858.12079054875,5292.33985502306,5661.96787336674,6315.31279603534,6455.66062185762,6793.24495895856,7726.33668877794
Mauritania,MRT,1.6,6.28,21.5,68.9,21.5,0.31,2.7,381.0,31.84394530590868,1853.0716549677056,1554.94897871782,1565.76575722696,1615.00401327323,1722.93528854073,1767.072710621,1795.76459566714,1947.78918383313,1960.35240077424,2135.78187606359,2110.12036938187
Mauritius,MUS,4.8,9.39,7.8,73.4,9.0,3.24,10.5,66.0,41.35169806243628,1683.0032267832994,9630.5437837507,10095.1225574156,10986.7034093005,11818.7480619272,11568.2533399824,9135.84773751062,9177.71195973013,10246.5017455553,11269.9684462139,11990.7798944837
Mexico,MEX,7.4,10.39,13.1,70.8,7.6,1.18,7.0,42.0,81.39056867472102,2094.7754938430744,10021.2386118827,9097.92397674769,9649.27816772402,10084.7937562021,10369.5553585271,8841.27075039868,10314.0506722115,11405.7940473759,13860.9597809326,14185.7812248529
Micronesia,FSM,,1.89,,65.7,12.1,,19.8,129.0,26.044374138130884,1715.4926021317017,2853.07643587028,2979.60119184048,3279.10779039285,3566.58690371125,3572.65918282222,3362.02802120524,3508.22314197664,3710.12451611752,3919.64307910859,4166.00476748564
Monaco,MCO,,12.04,,,1.5,9.19,,5.0,178.23313868135097,2680.92559372424,170437.101188261,173604.753555915,170663.375247872,188298.315668437,193746.785647412,176891.886538492,223823.363960226,226052.001905201,256799.788612806,288001.433369041
Mongolia,MNG,12.3,9.25,7.1,70.1,7.4,5.41,18.5,41.0,41.20613245418707,1719.9149350122966,3838.92126989984,3619.90026383792,3645.96708669551,4107.64288528468,4347.54610314873,4001.25193077703,4517.61578018785,4993.51487463495,5838.63108083902,6750.6301157724
Montenegro,MNE,8.6,16.25,8.0,74.7,1.0,0.58,11.3,6.0,46.16260685256864,1940.0591260566075,6421.00307345999,6968.01539365317,7674.2813940676,8673.59128084795,8749.02375172644,7538.53635992191,9317.15520065156,10024.5435616209,12259.8775034436,13263.3281277699
Morocco,MAR,4.2,6.82,13.7,72.6,10.2,1.4,2.9,70.0,46.98086740650481,2159.622220198443,3146.24780273438,3140.85546875,3296.52661132813,3501.69799804688,3508.09765625,3268.0302734375,3785.93627929688,3463.1376953125,3813.72607421875,4153.1943359375
Mozambique,MOZ,4.4,8.04,37.0,57.7,25.4,0.11,10.6,82.0,21.34364341783085,2054.1895267990485,610.563774706589,441.489734819071,470.93856305196,517.507260258101,519.09255091362,462.433876479921,509.907829475551,578.251663751351,622.000297682823,656.776824637306
Myanmar,MMR,0.6,2.55,24.5,67.8,20.6,0.72,2.9,185.0,27.516747440399143,1449.1105164684388,1166.73305547935,1229.19713491328,1272.82241815234,1298.21310327675,1425.98954241668,1490.21683599469,1242.7213439951,1158.05005055976,1233.19666209269,1359.05001560107
Namibia,NAM,5.8,11.74,16.4,60.4,24.1,0.78,8.6,139.0,38.66701225363487,1786.1903451213443,4774.10650865775,4395.68776162376,5143.96072323076,5308.60813408705,4731.9210318831,3878.58982993966,4412.8355693052,4349.79908493314,4187.60500396525,4413.12752211572
Nauru,NRU,8.2,11.83,16.0,,4.8,3.45,,273.0,34.238815484456914,1725.1814268256626,7747.25584993607,8748.15632605428,9656.97976571484,11413.7463016389,10801.7705659635,10709.068810538,14979.099896799,12911.9086441381,12752.4723855838,13609.158837552
Nepal,NPL,1.8,8.01,26.0,70.0,16.6,1.64,10.1,142.0,33.307234462787264,1717.2473132605826,875.543635474862,877.256454696737,1034.28374906846,1179.19843190389,1203.14294706401,1154.21517578318,1252.75076731986,1385.91066274851,1382.33055769304,1447.31004458428
Netherlands,NLD,5.4,15.92,1.6,81.1,2.6,5.67,11.5,4.0,100.6427411774558,3271.434425590815,45793.8135434697,46808.5291492503,49513.6817346384,53955.0770024266,53554.9007491475,53467.9277413737,60141.9880911492,59123.318556487,63515.6030780019,67520.4218956281
New Zealand,NZL,,19.75,,82.2,2.7,5.09,11.9,7.0,111.1420052101903,2736.899912641444,38665.3723018158,40113.7195382428,42950.3841711138,43257.0769238879,42855.831861632,41997.7830324279,49950.4251691316,49099.7090423358,49075.9562832927,49205.1792146792
Nicaragua,NIC,,17.83,,75.0,8.4,0.41,4.2,60.0,53.874044643225815,2048.0221950016803,2074.45620634731,2131.68704828322,2182.61380995674,2035.16549390507,1958.62051528095,1938.44704754382,2138.38588469449,2322.89053964583,2609.44492072931,2847.53966339498
Niger,NER,2.6,7.11,48.3,60.0,33.8,0.01,4.5,350.0,21.54254273819684,2023.390817187248,485.662574175279,502.706475406446,521.804130023434,578.568035680892,561.691304349698,579.512495758236,608.722439593808,609.745147574878,638.336080897887,735.270255787226
Nigeria,NGA,1.6,4.31,33.8,63.4,33.7,0.23,5.0,993.0,33.929643716856155,2140.863592742932,2585.73360671797,2070.4127339595,1876.34027111773,2057.87944554011,3189.81286498516,2797.18458068686,2787.48779224428,2899.16047470324,2138.76383719983,1084.16041805436
North Macedonia,MKD,12.3,12.36,3.8,73.0,1.4,9.24,5.8,3.0,43.34675027194047,1791.180955780462,5262.68671928674,5598.48622617967,5955.2973863451,6713.98925398989,6718.85826635458,6659.59651070776,7620.80296977508,7606.2375253797,8674.35846327485,9291.85661671864
Norway,NOR,,17.75,,82.9,1.3,8.79,13.2,1.0,126.34617704073057,2308.757301306347,74809.9658049898,70867.3609970749,76131.8384032764,82792.8427113304,76430.5889473338,68340.0181033702,93072.8925119571,109269.520580298,87497.2179649556,86785.4334489176
Oman,OMN,8.8,8.31,12.9,72.5,4.7,3.59,0.9,13.0,71.78086891458828,2080.1564681099385,18808.3077921839,17110.1897460545,17820.0661809335,19901.7615642016,19180.1864152801,16784.8630630058,19403.4600160211,23223.5829405935,21027.7384778886,20285.2272897377
Pakistan,PAK,2.1,5.55,33.6,66.0,37.6,1.16,5.6,155.0,38.61302983638863,1997.5580302392937,1380.47020838317,1424.69161195897,1519.23459514248,1569.33814626355,1390.41690981745,1278.39735206896,1455.31922370186,1538.3228133171,1360.32417758419,1478.77277977996
Palau,PLW,,9.51,,,11.7,3.96,,89.0,39.25180266993381,1744.236804312959,16154.0532152373,17150.4759377239,16401.7847567871,16166.9671073752,15846.7968470167,14708.2119536914,13009.2481630213,13729.7602761496,15610.8231931032,
Panama,PAN,10.9,22.23,14.0,77.2,6.6,2.8,3.3,37.0,85.98495358193183,1883.070469678272,14082.6548434996,14832.3611652459,15694.6297518495,16151.3273433486,16477.9066268111,13290.5608397749,15509.8069124139,17378.6070017557,18797.1933994045,19161.2188501596
Papua New Guinea,PNG,18.5,6.99,47.6,65.5,20.5,0.05,1.8,189.0,26.2653895320196,1753.6930924729263,2484.5963398603,2316.39479758492,2477.76530986323,2566.36833735041,2575.77274140393,2429.61134585269,2607.57861874444,3102.28968594061,2966.06830432055,3006.70564478923
Paraguay,PRY,15.4,17.45,3.2,70.3,9.1,13.41,6.4,58.0,69.35619478430179,2382.193760742868,5879.33792308762,5775.15963399596,6152.2671153779,6258.44991640984,5821.18199548738,5365.47220721104,5976.93179789949,6205.62595379319,6299.99026533713,6416.09708970845
Peru,PER,9.0,16.7,10.6,71.7,7.8,2.15,1.5,51.0,99.59415528312898,2435.9172575504954,6231.71150338894,6217.03599995447,6736.16693725487,6978.49121548627,7037.00803692604,6133.32552410183,6826.20255614477,7350.63034300417,7887.54185920108,8452.37167056621
Philippines,PHL,3.3,8.98,27.7,66.4,14.0,2.51,3.5,84.0,31.6706267416556,1466.573176426197,2909.85818010301,2985.19564024046,3038.12124959289,3168.51036609727,3400.78949767074,3227.57910235199,3484.38593882819,3548.06930572116,3804.08274131097,3984.8315387656
Poland,POL,8.6,10.71,1.0,75.4,2.4,10.73,13.7,2.0,55.68066668601679,1653.5083099981762,12637.5220324406,12464.0110508476,13913.3402919927,15658.2120316794,15874.5220531254,16150.9304813473,18635.5104895754,18891.2121169279,22145.2660647429,25103.565661423
Portugal,PRT,9.4,14.81,3.2,81.2,1.6,12.05,11.5,15.0,93.47777931407713,3021.899693177723,19215.7813014347,19980.2808866516,21442.3842768879,23541.1401075289,23343.3628970034,22299.4044062173,24711.4510062111,24620.5197587181,27634.6183139773,29292.242104753
Puerto Rico,PRI,,,,79.9,,,5.4,11.0,104.59052513137142,2512.232834478573,29242.041465085,29978.0889268918,30328.479490518,30679.9181934488,31830.5284993358,31427.1130762831,32619.0704601174,35353.6821570014,36980.7884784287,39343.7154660139
Qatar,QAT,8.6,7.39,5.4,76.7,3.7,7.39,4.7,4.0,95.3226209171142,1902.8555266358376,68985.2433380102,61253.6217997091,63279.8767486216,71039.9308240078,66841.3623185691,51683.5681078949,71751.9363398856,88701.4689763536,81816.9797967481,76688.6941743178
Republic of Korea,KOR,5.5,14.08,1.8,83.8,1.2,5.41,27.5,4.0,81.55147354845023,1988.50964893558,30171.7906545222,30832.0628072516,33296.9845439195,35363.9508228687,33826.9443301597,33645.7719545073,37518.4635305697,34822.4048404971,35674.095995632,36238.639908315
Republic of Moldova,MDA,4.1,12.35,4.2,69.6,10.8,4.98,14.1,19.0,36.8026690633234,1821.4789078858023,2749.55137054338,2847.08794770479,3453.26727720294,4156.44981956646,4405.33418162155,4375.7788930524,5274.60582195352,5744.29618434435,6799.58594644576,7576.19589413326
Romania,ROU,4.8,11.16,7.0,72.8,3.3,11.4,9.6,12.0,50.57212067042982,1667.4642749729833,8977.01748158196,9404.54005870715,10727.9822007426,12416.134317959,12909.6104013244,13009.1770573223,14907.9803652143,15503.551804598,18244.4186876321,20080.2096215595
Russian Federation,RUS,9.5,13.76,,70.0,1.7,2.79,21.4,9.0,52.39758407659384,1752.0786798915206,9277.7138671875,8663.158203125,10658.9130859375,11211.8876953125,11447.701171875,10108.3271484375,12425.029296875,15619.6142578125,14159.3876953125,14889.0185546875
Rwanda,RWA,5.1,9.47,29.8,67.5,18.1,0.2,8.7,229.0,24.39585245790256,1961.1180442832745,733.998629882494,729.519133812945,758.300966509647,771.773511207309,810.051412137354,778.701498925026,829.544845263697,975.469323735369,1027.03446826565,999.65456165547
Saint Kitts and Nevis,KNA,,5.91,,,10.3,2.55,,74.0,98.05732873121428,2259.3045477559576,20328.8003530109,21387.5415511103,22464.9899633959,22901.3816403197,23595.4923231291,18859.0190361046,18361.1449697886,21011.5744209816,22576.9248439166,23960.6534357084
Saint Lucia,LCA,6.8,9.0,2.8,71.1,10.0,1.76,5.3,44.0,76.00293496990258,2253.6160638866995,10334.9860823918,10638.1269396653,11333.1123822102,11642.6984727769,11794.0597229805,8411.07474936367,10459.1321248092,13103.8243147472,13554.7684784933,14181.6303351598
Saint Vincent and the Grenadines,VCT,,8.63,,72.6,5.8,,0.4,56.0,75.0021733818643,2183.5488115676526,7353.73556054184,7656.90042881178,7988.04445019298,8428.12677153069,8740.59425232061,8351.20324040982,8641.27904024443,9693.55867833025,10582.3656725229,11501.2265187188
Samoa,WSM,9.4,15.15,8.4,70.3,6.2,0.9,12.0,101.0,30.33401725309442,1721.8326882075028,4084.36083819933,4147.07097674888,4307.59381964907,4231.81409469194,4351.94234943706,4099.59660548583,4021.55934894283,4132.44717734444,4822.74084650019,5392.87761915762
San Marino,SMR,,29.51,,,0.6,7.42,,8.0,113.95584865721894,2635.0828081960794,43146.8240435428,44359.4797662688,45192.0279766943,47950.6880557136,46630.1443120725,44326.9556746411,54176.4798021628,54190.8417700372,59879.7173015651,
Sao Tome and Principe,STP,6.4,14.94,10.0,71.2,6.8,0.27,0.9,75.0,29.577167187429737,2069.657796287342,1298.10946596396,1434.87018050521,1555.79477812888,1825.59971753966,1935.2931816596,2167.22001796925,2362.58827248102,2389.73729784737,2990.6606143535,3490.56883486557
Saudi Arabia,SAU,8.4,12.81,11.1,76.4,3.0,7.81,0.9,7.0,76.655285283197,2314.577338277543,23256.1549553531,22267.7217050387,23929.2907135982,29360.0658968566,29566.7933827436,24338.8307301067,31920.7653655643,38510.2276211037,36156.848337701,35121.6628687742
Senegal,SEN,2.1,3.37,17.2,67.8,22.3,0.11,6.8,237.0,27.84194505354294,2015.985515722627,1218.00613555438,1266.43957151587,1356.80518449031,1452.55612562445,1431.18128932159,1461.08720350553,1598.10676952274,1574.0281059306,1698.03387300843,1773.21829923448
Serbia,SRB,12.2,13.69,4.6,72.8,3.2,2.47,15.1,11.0,44.687222438379024,1900.2423002573048,5820.3215576888,5982.37030126471,6548.03653824187,7559.86165747394,7755.632986437,8098.70955668849,9680.52798074468,10024.8191112596,12281.707946167,13679.2065983557
Seychelles,SYC,10.9,10.18,6.2,74.0,8.5,3.51,4.3,42.0,43.08247695457848,1407.5464969304344,15333.1051727105,16566.9946042294,17480.3651911372,18440.2340460932,19141.5118743615,14041.4754074575,14982.9111487767,16836.6721895387,18262.7115849287,17858.8226383978
Sierra Leone,SLE,5.4,5.2,25.2,61.0,29.3,0.02,6.1,354.0,23.096144455581168,2112.063287961415,964.575980888989,844.416411175476,779.186007841728,845.914540460932,843.712517809977,845.277557920549,885.396401885395,860.371067916096,758.329137378248,806.654650417726
Singapore,SGP,3.8,18.12,2.8,83.9,0.9,4.61,8.1,6.0,106.34418179639944,1759.5042708427495,55645.6068614606,57005.5887176547,61236.251270627,66881.6067035265,65952.0378959293,61410.0792630788,80056.1288247844,90299.0694637269,85412.230345235,90674.066632628
Slovakia,SVK,,14.56,,74.5,3.0,5.43,9.9,4.0,54.25778463469415,1743.9241936805208,16442.0760860018,16636.0769133073,17645.5298716761,19573.3717031314,19406.0589683582,19735.4858280801,22123.3342114545,21317.7943982363,24614.8734642794,25992.6748502048
Slovenia,SVN,,14.95,,80.4,1.3,7.43,18.9,3.0,55.05772519080064,1917.542207187407,20697.2748530619,21447.8377796036,23303.077705959,25888.0481065655,25814.1687167572,25392.0651093612,29192.8401933019,28360.3041467268,32660.4753581346,34301.0318686594
Solomon Islands,SLB,6.2,9.72,29.8,64.8,8.3,0.51,19.6,123.0,23.559948896274104,1807.380626755853,2045.47721526649,2082.62383124213,2143.57670489272,2278.19908624102,2223.65890942466,2063.32780991967,2043.44413170658,1877.78104490956,1882.64394148042,1933.55538435227
Somalia,SOM,2.5,2.5,23.9,54.0,34.9,,8.0,563.0,16.249387273698677,1865.0164543710057,445.583080073396,460.928490585175,510.939952317726,509.497273804534,539.954816211694,518.16113333875,549.056994756254,573.141165798229,596.885985135589,629.538899449007
South Africa,ZAF,12.8,16.89,24.4,61.5,11.7,0.19,22.3,118.0,42.78460131911034,1974.2866729194,6112.27382485974,5651.20585165749,6618.33508255701,6914.1780318076,6533.71121032856,5580.60383075189,6828.75624590017,6534.24867783397,6034.27208964673,6267.186814093
South Sudan,SSD,4.3,2.11,30.0,58.6,40.2,0.03,7.9,692.0,21.95501173347948,2076.450958538064,1080.14718624765,,,,,,,,,
Spain,ESP,,15.22,,82.7,1.7,6.03,8.7,3.0,120.10479504414047,2487.4605673566384,25982.4416197775,26755.6061149398,28381.3425596906,30602.4212881113,29786.5245689007,27233.9426461608,30799.4775937775,30319.4987196616,33493.2225409111,35326.7683069278
Sri Lanka,LKA,0.9,9.49,10.1,77.2,4.1,0.96,14.7,18.0,36.20736252848352,1414.8272060274132,4057.7158346231,4149.19190775593,4398.88828068715,4358.56095906047,4081.94772722003,3847.60137695639,3996.96240014909,3342.63650253855,3798.89016573011,4515.56787322732
Sudan,SDN,2.6,6.72,35.4,67.6,24.8,2.5,3.2,256.0,36.55775447247649,2212.77648563498,1292.37963867188,1033.21594238281,966.505676269531,731.027465820313,709.975280761719,577.795227050781,712.122009277344,1046.24084472656,797.283447265625,984.607666015625
Suriname,SUR,3.7,13.12,8.0,69.8,9.9,0.7,22.3,84.0,78.14337043040237,2202.1130474525366,8813.61705392067,5644.2061057532,6049.52128553675,6665.74180472239,6629.66775248603,4755.39221710693,5029.84838543953,6084.43876736445,5521.97602122638,6961.78955961526
Sweden,SWE,,19.01,,82.7,1.4,7.74,13.8,4.0,116.02803002778232,2386.5143519454205,51188.1652120493,51703.5088332851,53210.2233318965,54018.4554391861,51648.9892820514,52568.5726980146,60647.5416365347,54836.8907235124,54950.2834725622,57117.4877440616
Switzerland,CHE,,12.41,,83.3,2.8,4.06,14.0,5.0,104.95426138718958,2685.4864316477765,83806.4476003837,82153.0745447889,82254.3769269767,85217.3691512274,84121.9310304414,85897.7843338323,93664.7736696111,94394.5106803525,100623.549627296,103998.186685604
Syrian Arab Republic,SYR,11.0,7.78,23.5,72.4,10.0,10.22,0.6,20.0,38.90848197990151,2981.617044381352,847.731631942565,656.3490586313,851.502005254153,1098.0668642357,1109.53926036049,572.355289831901,663.614245706815,1051.67149587463,,
Tajikistan,TJK,4.6,6.39,13.1,71.8,12.6,1.5,2.4,14.0,28.83667911739931,1704.31519458588,956.916310930656,788.710481734485,829.45714764957,834.288404578801,871.022372934846,834.311715460625,896.748053372182,1052.17949484894,1178.47990060249,1341.20229027672
Thailand,THA,9.9,16.1,12.3,75.3,5.2,1.13,16.6,34.0,39.41858692373892,1296.265300333528,5688.85335397884,5833.57715617098,6413.09182530343,7099.77650081458,7605.69657797759,6985.64393892574,7057.20754802279,6909.35281815827,7195.10130919449,7346.62022142185
Timor-Leste,TLS,1.2,8.93,45.4,68.0,22.2,0.02,3.6,192.0,22.854102823240385,1385.1439426839968,1319.59295003154,1335.54391073349,1266.17771143471,1219.46599728983,1562.36458068032,1630.86938521256,2684.92676774277,2343.24954740187,1502.41147438211,1331.9705130185
Togo,TGO,3.6,2.56,23.0,63.9,23.1,0.02,9.3,349.0,24.52734250227929,2487.0673339397104,751.051987587248,772.581357620609,792.765700965864,851.120561233595,826.255209019798,863.468665870276,962.075187515872,951.232378690387,1055.01727877926,1119.38160509429
Tonga,TON,9.5,8.65,1.6,72.7,4.3,1.42,4.7,67.0,31.219949370047644,2008.792477082952,4123.90323993332,3987.98626206287,4365.92932788383,4675.04791274385,4788.83342304684,4792.35854741522,4922.80171378368,5298.01941509951,5651.59373063157,
Trinidad and Tobago,TTO,15.0,10.92,7.8,71.7,12.9,2.99,13.3,54.0,96.7501311787443,2257.5967728451283,19887.2327716498,17449.1538801956,17566.0999700656,17571.498737278,17212.6128892163,15283.6270531554,17712.5674104655,20750.5202434652,18308.4536298575,18733.4110406494
Tunisia,TUN,17.5,11.21,8.9,74.1,8.4,3.68,1.8,36.0,52.16290903539238,2545.6054600729403,4014.94773686432,3847.80354448809,3619.03247319953,3628.10366464236,3528.87213306798,3548.65363663803,3906.93926319391,3707.29283414381,3951.11683376921,4181.13789301228
Türkiye,TUR,7.7,10.05,5.5,75.3,4.9,4.87,2.7,15.0,71.8830374890065,2183.1981593301034,11064.6494504662,10984.3643169061,10756.3877677883,9684.11819884721,9395.23378001368,8798.11791709313,9981.76398411336,10897.8397861365,13375.0947282864,15892.7157287241
Turkmenistan,TKM,4.8,8.46,6.5,69.1,22.8,1.24,6.8,5.0,45.951608097967686,1673.5230333958746,5759.497903834,5686.98040962764,5828.4816623489,6125.05169712085,5998.0017434754,5972.72356566861,5723.30227157906,5837.84224538947,6231.91323839698,6856.65802730208
Tuvalu,TUV,4.1,11.21,5.3,,9.0,0.96,,170.0,27.448739891486355,1720.8184083427534,3357.83417700071,3808.69755015909,4165.66338700106,4466.12034928245,5115.13075950206,4976.11254109571,5905.08198095343,5911.32727055301,6344.7750188689,
Uganda,UGA,4.2,4.86,23.5,66.0,17.9,0.11,5.5,170.0,25.67713270968042,1962.2541261964489,862.934610355811,752.696571725656,765.218332297361,792.16570022814,822.171150036357,845.766463890124,882.791717542504,963.067314117178,1002.30913917142,1077.91278452817
Ukraine,UKR,16.0,,11.7,70.9,4.7,,21.2,15.0,39.41672172860186,2134.616011177849,2094.47387695313,2158.46118164063,2604.28759765625,3059.0517578125,3619.86157226563,3709.76928710938,4775.94580078125,4199.6708984375,5139.59814453125,5389.47314453125
United Arab Emirates,ARE,,12.07,,78.3,2.5,8.85,1.7,3.0,79.1919885936205,1995.0654184015184,44910.334995523,42721.0999383185,43733.6192287435,47135.3591943971,45938.6073581994,37991.7492971665,44118.5047192771,50759.7589231191,49850.6872175164,50273.5060469837
United Kingdom,GBR,7.8,20.67,3.5,80.1,2.7,4.93,9.5,8.0,105.80237627099916,3216.373249759623,45255.3449216209,41257.9085545556,40916.8115070354,43702.9976303165,43158.7411267323,40812.6794663879,47691.3768799404,47057.043229179,49944.4702124201,53246.3676145108
United Republic of Tanzania,TZA,4.7,5.14,29.9,66.8,20.6,0.12,5.1,276.0,26.86181947952797,1824.3581236266057,939.127319335938,953.0107421875,986.674011230469,1023.10626220703,1063.32250976563,1117.41528320313,1159.85656738281,1207.52062988281,1224.00219726563,1186.71691894531
United States of America,USA,9.7,24.74,4.2,76.4,3.4,6.0,15.6,17.0,62.68450039889797,2471.1788910438886,56572.9188996063,57638.1018367192,59635.0984397965,62499.8744390068,64746.4506778863,63515.9491807833,70205.050916026,76657.2488844403,81032.262117545,84534.0407841548
Uruguay,URY,13.5,20.94,6.5,75.0,4.1,2.49,24.8,15.0,79.42654904226544,2496.901742604983,17125.9016800298,17009.7584207276,19184.6502617082,19249.9404677501,18315.7316980028,15757.5355995779,17881.818721099,20818.6146091144,23019.4221560046,23906.5133029408
Uzbekistan,UZB,5.5,7.13,6.7,72.2,7.6,1.1,8.3,26.0,37.98511185657991,1552.6046330400948,2803.19018021751,2753.37951427589,2190.60411562888,1813.08530813664,2041.38480729431,1978.28051860763,2258.51964119278,2578.66689394219,2878.96879292451,3161.70010632875
Vanuatu,VUT,5.5,3.89,31.0,66.3,8.7,0.31,15.7,100.0,24.93814519626166,1706.5237656107877,2854.89412272653,2956.12644801489,3159.86055790126,3206.65748718811,3207.44650452083,3042.98711598286,3107.20312858002,3370.21191956953,3482.61458237637,3410.77023167097
Venezuela,VEN,7.3,6.01,11.7,71.2,15.0,1.35,8.6,227.0,59.74300563690005,2180.483570908121,4103.1384987005,3670.15737848208,3791.33160682077,3422.65467014854,2523.11275230667,1506.0436210041,2004.93397949792,3155.04207099687,3617.43594578269,4217.59102643391
Viet Nam,VNM,10.5,10.7,19.2,73.8,10.3,,7.3,48.0,31.17802073127243,1282.6327241199813,2577.56885340113,2735.0604380416,2956.10992127753,3222.31003125366,3440.90025375434,3534.03953482647,3704.1935590038,4147.69777213621,4323.35031982451,4717.29028732449
Yemen,YEM,1.7,2.51,47.4,65.8,21.4,0.19,4.2,118.0,31.169489136440987,2166.6635359045345,1362.1738120601,975.359417003225,811.165970405745,633.887202451545,,,,,,
Zambia,ZMB,6.3,8.89,32.3,61.0,22.0,0.14,7.1,85.0,28.7448292463776,1995.4758030611376,1295.87788680068,1239.08527877713,1483.46577328065,1463.89997855593,1258.98619844462,951.644316655957,1127.16077872857,1447.12310138035,1330.72780576709,1187.10943350064
Zimbabwe,ZWE,4.0,5.21,23.7,58.5,22.4,0.3,17.3,358.0,25.94449987821068,1880.185396400609,1387.12632595026,1408.13945253431,3445.44941020134,2270.89531874302,2184.32923855469,2059.67445384499,2613.60542083552,2536.40050223076,2195.22492079245,2497.20332208763
