LOCATION,Pays_code_iso3,Surpoids enfants <5 ans,Dépenses publiques santé,Retard croissance enfants,Espérance de vie totale,Taux mortalité brute,Médecins pour 10k habitants,Taux de suicides,Mortalité Maternelle à la naissance,Eating_disorders,Mental_disorders,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Botswana,BWA,11.5,14.62,21.0,61.2,20.9,0.36,8.4,155.0,44.37282554893656,1846.790062031156,6141.20394726616,6749.05994339013,7104.96401088027,7407.95940141786,7172.08956480028,6323.2974967659,7807.88794570471,8328.7090572666,7826.35376483298,7695.75319445165
Brazil,BRA,10.9,9.0,8.9,72.4,7.6,7.45,7.6,67.0,81.07899505739377,2690.635035762313,8936.1955889444,8836.28546025694,10080.5078722821,9300.66072904004,9029.83304401079,7074.19407495707,7972.53696080695,9281.33282136864,10377.5897719195,10310.5488778166
Brunei Darussalam,BRN,9.5,6.36,9.9,76.9,4.9,2.35,3.0,36.0,97.74291691552706,1967.873058237684,30625.1287744656,26663.2972950602,28024.3824580252,30988.1190267227,30426.5730656528,26834.3592233943,31006.9636289785,36632.9280952155,32890.5491812019,33153.4738913513
Bulgaria,BGR,5.5,11.59,5.5,71.3,2.6,11.23,9.5,6.0,47.85189070288627,1668.1716723172854,7268.65445473873,7822.49923292968,8696.68930427924,9849.38397225174,10353.7204584127,10760.211975413,12966.1457543396,13999.1949530956,15853.208636704,17596.0173663521
Burkina Faso,BFA,2.8,8.4,19.5,62.3,24.5,0.06,8.5,242.0,25.11100564171414,2244.5319936071023,630.124750752312,663.742364842886,709.091535894695,777.465618514048,764.853077774946,825.237038782475,895.535288442991,827.330843486661,873.482589651003,981.992649769081
Burundi,BDI,2.4,4.73,55.3,64.0,19.6,0.01,7.7,392.0,17.93727215371255,1925.1127147557,254.402585226788,232.937812100153,246.060725714184,245.661678332009,234.31061590725,255.8324539389,264.980379269655,302.992505263552,250.627253097255,219.424830882698
Cabo Verde,CPV,8.4,16.06,5.3,73.2,8.3,0.15,14.9,40.0,34.98783461353155,2086.137707167547,3415.06266730931,3608.96605234906,3893.09571382506,4294.96510035729,4380.78117331128,3539.22661248299,3971.44409203423,4323.31362032709,4794.90121917259,5192.48157325878
Cambodia,KHM,5.7,6.99,22.0,68.9,11.8,0.31,4.5,137.0,26.170881522509863,1518.221853595219,1547.32010444393,1675.19555711109,1826.35391688754,2036.67377566578,2225.87705485686,2081.73914242939,2167.40324198499,2325.03050040841,2429.74853452838,2627.87969756224
Cameroon,CMR,13.6,3.94,27.2,61.8,25.2,0.12,8.5,258.0,28.440049368663257,2150.554253456532,1415.00009710569,1441.7201725688,1496.08951771242,1610.69641591017,1555.22660476477,1555.60370660749,1672.32657340872,1604.87726954895,1720.47510154506,1830.00833684727
Canada,CAN,11.4,19.5,,81.6,3.4,6.53,9.4,12.0,99.13691753711392,2247.3396730730783,43594.1941045394,42314.0615817218,45129.628116623,46539.1761570405,46352.8693445211,43537.839298904,52886.6616372703,56256.8007264015,54220.3285039875,54340.3477224733
Central African Republic,CAF,2.3,9.03,38.9,52.3,30.7,0.01,9.2,692.0,18.336707755575866,2508.4324965458623,366.322853938121,387.176203444318,432.324025684263,455.243962859534,449.228467602439,462.879071294011,492.263142830507,467.359825026238,495.978897288721,516.160999996036
Chad,TCD,2.5,7.26,31.5,59.1,31.4,0.01,5.2,748.0,24.326652435935195,2375.920318172994,993.990730610869,861.831767630746,854.46120040098,948.656629871231,893.336441643325,866.947814890409,946.358500208374,966.036468278568,949.333453674592,961.55975562506
Chile,CHL,8.7,18.95,1.7,79.0,4.6,16.77,7.7,10.0,80.92753158229198,2752.784888984845,13433.9202987032,13649.8520452803,14879.9086227187,15659.4808675628,14495.716721687,13114.815470545,16206.8325493421,15405.6165774073,17067.0364799154,16709.8893972307
China,CHN,11.1,8.8,4.5,77.6,2.8,4.51,8.9,16.0,34.703564152589124,1659.271437916483,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13303.1481543868
